當地民眾 0.004053(111/174)	營養午餐 0.003391(91/158)	吸金 0.002806(71/170)	業者說 0.002183(54/154)	大陸網友 0.002066(59/92)	帶回家 0.002027(50/152)	重建家園 0.001793(39/200)	聚光型太陽能 0.001793(46/46)	植物工廠 0.001715(45/75)	購物商店 0.001676(41/45)	
台獨黨綱 0.016281(476/491)	高雄市長 0.015335(453/772)	主席蔡英文 0.012228(366/566)	支持者 0.011856(357/526)	市長賴清德 0.01064(313/388)	總統大選 0.009661(279/460)	台南市長 0.009255(274/298)	市長陳菊 0.007499(216/884)	服貿協議 0.007499(217/822)	今天上午 0.007195(218/430)	
工作機會 0.006584(172/320)	黨中央 0.006468(169/490)	洽詢電話 0.005121(142/302)	勞動部 0.004813(124/460)	新產品 0.003465(84/521)	電力公司 0.00335(84/152)	島國前進 0.00335(93/155)	張志軍來 0.003273(90/268)	8月29日 0.003003(75/118)	在野大聯盟 0.002926(77/211)	
認購權證 0.005353(135/240)	世界盃足球賽 0.003813(94/220)	媒體詢問 0.003813(104/280)	週日台北 0.003274(76/370)	法人認為 0.003235(82/206)	競選團隊 0.003197(82/193)	小股東 0.003081(80/202)	獲利了結 0.003042(78/142)	積極布局 0.002773(77/116)	國泰證 0.002773(72/102)	
物價指數 0.007799(209/292)	消費者物價 0.006255(164/226)	行動上網 0.00422(113/143)	主計總處 0.004032(115/372)	雲端運算 0.003429(90/194)	中心主任 0.00309(93/414)	國民黨中常會 0.002901(82/204)	營收成長 0.002864(73/199)	中華電信 0.002788(79/1046)	農會總幹事 0.002487(63/90)	
馬總統 0.076821(2147/2302)	總統說 0.007957(223/350)	總統馬英九 0.007379(228/1040)	人事同意權 0.006366(182/405)	總統表示 0.005643(154/240)	股份有限公司 0.003581(98/288)	電子產品 0.003328(88/234)	馬英九總統 0.003292(85/714)	高等法院 0.002858(79/160)	台聯立委 0.002351(65/140)	
電子商務 0.008231(193/722)	活動期間 0.006017(134/322)	文教基金會 0.003301(85/284)	購物中心 0.003092(76/358)	吳副總統 0.002466(60/82)	民進黨提名 0.002089(49/125)	補充水分 0.002006(49/310)	國際組織 0.002006(52/112)	媒體採訪 0.001588(35/96)	解決方案 0.001546(34/466)	
營收為 0.00461(120/321)	永續發展 0.003332(84/262)	嚴部長 0.003255(84/148)	中共海軍 0.003177(83/100)	勞動部 0.002519(66/460)	新興亞洲 0.002209(56/110)	副主委張顯耀 0.002015(54/149)	財務狀況 0.001976(53/114)	台新銀 0.00186(51/72)	統籌分配 0.001782(46/54)	
台灣省政府 0.003594(90/102)	停車格 0.002955(74/86)	移轉訂價 0.002555(64/64)	接受媒體 0.002356(56/314)	回應說 0.002356(62/144)	業者吳榮和 0.002316(58/58)	小朋友們 0.002156(48/72)	錢林慧君 0.001917(49/62)	大陸稅局 0.001597(40/40)	秘書郭冠英 0.001557(39/39)	
馬政府 0.011125(273/612)	為例 0.009821(251/836)	提供民眾 0.002731(68/168)	順育樂 0.001834(45/45)	總統候選人 0.001834(42/112)	環境商品 0.001549(38/38)	橡木桶洋酒 0.001386(34/34)	想辦法 0.001304(35/146)	政府提出 0.001264(35/108)	國家利益 0.001223(34/121)	
達人 0.011187(287/414)	成交金額 0.008008(206/456)	同業公會 0.005849(151/274)	上市公司 0.005535(139/260)	證券交易所 0.003612(98/152)	上午11時 0.003533(85/404)	商業同業 0.003298(82/190)	證交所表示 0.002866(74/95)	加權股價 0.00263(65/162)	台灣分公司 0.00263(66/76)	
台北股市 0.011627(268/355)	政治人物 0.009442(215/498)	民進黨主席 0.009398(221/598)	股市今天 0.009005(210/247)	參選人柯文哲 0.007912(180/540)	成交金額 0.005464(127/456)	金額新台幣 0.004503(100/191)	台股今天 0.004328(100/146)	股價指數 0.003672(84/234)	指數成為 0.003628(83/84)	
自由經濟 0.017525(770/770)	經濟示範區 0.016112(707/708)	監督條例 0.015702(689/689)	兩岸協議 0.013058(576/581)	協議監督 0.011463(503/503)	特別條例 0.008455(371/392)	示範區特別 0.006746(296/296)	服貿協議 0.006267(284/822)	中國國民黨 0.00613(267/416)	民進黨主席 0.005697(250/598)	
新北市長 0.024327(846/1236)	市長朱立倫 0.022108(764/1004)	新北市 0.015968(552/2388)	市長胡志強 0.011414(388/654)	監察委員 0.011299(380/506)	召開記者會 0.010723(376/822)	訪台 0.010204(362/858)	國民黨團 0.009916(343/555)	市長陳菊 0.009483(323/884)	台中市長 0.008186(281/622)	
經濟發展 0.008765(223/1042)	台灣人民 0.007411(186/464)	民主法治 0.005339(133/149)	兩岸人民 0.00506(128/194)	總統說 0.004622(114/350)	中國人民 0.003427(87/334)	總統表示 0.003347(85/240)	大陸當局 0.003347(84/134)	六四事件 0.003347(84/84)	高雄地區 0.003307(79/246)	
罹難者 0.018433(449/784)	高速公路 0.008627(210/264)	產業發展 0.008464(210/754)	解決方案 0.00411(109/466)	雲端運算 0.0035(84/194)	公益路跑 0.002605(64/64)	近年來 0.002483(57/320)	小火車 0.00232(58/91)	公益團體 0.001872(46/114)	看電視 0.001831(45/118)	
新藥 0.017222(454/454)	大陸市場 0.011456(302/674)	鼓勵民眾 0.004742(125/168)	研究人員 0.003414(92/174)	市場規模 0.003263(81/170)	無線充電 0.003225(86/127)	臨床試驗 0.002883(77/122)	生技產業 0.002769(74/216)	集團總裁 0.002694(66/156)	台灣生技 0.002656(71/85)	
鐵路電氣化 0.010387(310/310)	花東鐵路 0.009851(294/294)	普悠瑪號 0.009583(286/286)	到台東 0.0064(188/192)	報告指出 0.005562(160/344)	普悠瑪列車 0.003854(115/115)	台東縣政府 0.003317(101/110)	送禮 0.003083(89/190)	今年4月 0.003083(97/366)	弱勢團體 0.003016(90/140)	
發言人陳以信 0.005986(156/285)	台灣經濟 0.005679(160/728)	靖國神社 0.005219(136/136)	信義房屋 0.004988(130/151)	記者會表示 0.004796(123/210)	專案經理 0.003722(96/102)	老農津貼 0.003684(98/164)	國民黨文傳 0.003262(85/141)	金額為 0.003108(84/182)	不動產企研室 0.003108(81/86)	
下午4時 0.009399(225/536)	者家屬 0.004421(110/258)	馬英九總統 0.004262(112/714)	受害者 0.003704(88/176)	政治人物 0.003346(80/498)	路跑活動 0.003147(83/148)	市場競爭 0.002708(72/112)	台北市立 0.002589(66/114)	中心主任 0.002509(66/414)	指揮中心 0.00247(56/154)	
今天上午 0.003532(75/430)	高峰論壇 0.001807(42/62)	海外不動產 0.001766(42/78)	健康管理 0.001725(43/98)	成為台灣 0.001725(36/226)	服務平台 0.001438(40/92)	政府打 0.001355(34/57)	業者推出 0.001314(30/82)	董事總經理 0.001232(35/70)	中山會報 0.001232(31/103)	
市長參選人 0.016468(489/712)	新北市長 0.011465(349/1236)	民調結果 0.00623(187/326)	爭取連任 0.006097(182/196)	市長選舉 0.005733(170/299)	市長朱立倫 0.005666(171/1004)	媒體訪問 0.004971(149/222)	接受媒體 0.004937(157/314)	議長黃景泰 0.004739(141/384)	參選連任 0.003811(115/115)	
合宜住宅 0.026034(814/944)	八德合宜 0.008406(268/269)	涉貪 0.007146(230/343)	應變中心 0.006832(218/470)	副縣長 0.006832(200/562)	遠雄集團 0.006391(203/203)	董事長趙藤雄 0.005289(168/168)	地方政府 0.004754(156/1190)	營建署長 0.004565(144/207)	桃園八德 0.004156(132/132)	
高收益 0.015866(485/485)	新興市場 0.011057(346/942)	收益債 0.010763(329/329)	組合基金 0.005267(164/173)	債券基金 0.004809(147/147)	為例 0.004318(131/836)	投資組合 0.004155(127/156)	收益債券 0.004122(126/126)	台灣市場 0.003828(110/286)	市場債券 0.00337(103/103)	
太陽花 0.008517(211/416)	花學運 0.007717(182/382)	智慧手機 0.005838(143/348)	指數下跌 0.004878(125/209)	台北捷運 0.004838(121/288)	捷運公司 0.004759(114/218)	創新高 0.004399(108/652)	道瓊工業 0.004399(112/173)	指數上漲 0.004319(111/293)	英國倫敦 0.004079(106/158)	
房地產市場 0.0043(115/232)	大陸官方 0.003584(100/286)	就職典禮 0.003369(91/176)	新任總統 0.002688(73/140)	2014年8月 0.002652(84/796)	募款晚會 0.002616(73/75)	國營事業 0.002365(68/210)	司法互助 0.002114(60/79)	市場人士 0.001899(55/125)	人士透露 0.001899(52/190)	
訪台 0.003957(96/858)	旺旺集團 0.002798(69/82)	金額新台幣 0.002758(69/191)	經營團隊 0.002598(67/160)	願景 0.002398(66/326)	賴清德表示 0.002238(52/96)	中國國家 0.002038(53/206)	財務報表 0.002038(51/67)	畢業證書 0.001719(39/78)	台北市立動物園 0.001679(42/42)	
天氣炎熱 0.002554(61/76)	集會遊行 0.002554(62/103)	季業績 0.002387(57/315)	土地開發 0.00201(49/104)	現代汽車 0.001884(45/48)	明年度 0.001843(41/94)	新車 0.001801(44/358)	重大傷亡 0.001717(41/124)	遊樂設施 0.001717(40/83)	去年6月 0.001633(38/100)	
近年來 0.005715(141/320)	機車騎士 0.004183(102/115)	行動電源 0.004017(100/160)	相關訊息 0.003769(93/178)	食品安全 0.002858(72/168)	海峽兩岸 0.002775(64/350)	新舞臺 0.002692(65/68)	7月10日 0.002527(58/148)	容積移轉 0.002237(54/78)	國際知名 0.002112(50/142)	
新北市 0.033554(878/2388)	台塑集團 0.010649(286/292)	國際油價 0.007473(201/207)	中油公司 0.006352(170/212)	呼籲民眾 0.005792(154/250)	無鉛汽油 0.00553(148/148)	河靜鋼鐵 0.004783(128/128)	馬政府 0.004634(115/612)	體驗活動 0.003737(94/232)	浮動油價 0.003139(84/84)	
基本工資 0.010366(279/700)	工資審議 0.006814(188/188)	審議委員會 0.003806(108/290)	物價指數 0.002682(73/292)	觀光工廠 0.00261(74/174)	總統選舉 0.002103(57/93)	舉行總統 0.002103(58/83)	勞動部 0.002066(51/460)	勞動部長陳雄文 0.001994(55/55)	金融債 0.001885(50/122)	
僑教中心 0.003655(94/111)	世界遺產 0.002531(63/90)	成交張數 0.00233(54/66)	醫療器材 0.00229(55/212)	漲跌幅 0.002169(54/59)	資助人 0.002169(54/54)	加權指數 0.001888(46/219)	來到台灣 0.001808(42/88)	委買 0.001808(46/49)	類股漲 0.001768(44/46)	
區域經濟 0.008687(253/394)	夥伴協定 0.008522(257/257)	經濟整合 0.00819(248/303)	發展協會 0.00577(171/250)	跨太平洋 0.005571(168/168)	經濟合作 0.005372(165/480)	貿易夥伴 0.004609(139/139)	太平洋夥伴 0.004344(135/151)	經濟夥伴 0.004311(126/149)	外交部發言人 0.004045(122/146)	
農曆7月 0.002726(73/136)	8月9日 0.002726(73/94)	旅遊旺季 0.002424(62/158)	電子商務 0.001704(44/722)	龍王鯛 0.001553(41/41)	托老中心 0.001553(40/74)	台灣彩券 0.001553(41/101)	8月7日 0.001477(44/280)	跨境電子 0.001477(39/41)	大主題 0.001439(41/100)	
公益活動 0.009891(269/340)	社福團體 0.006895(193/218)	回饋社會 0.004946(135/190)	身心障礙 0.003719(92/520)	慈善基金會 0.003321(96/255)	副縣長 0.003033(78/562)	彰化縣政府 0.003033(78/220)	庇護工場 0.002924(83/96)	基金會董事長 0.002672(72/148)	生物多樣性 0.002491(69/248)	
高雄氣爆 0.051555(2089/2368)	氣爆事件 0.027386(1121/1320)	高雄市政府 0.013656(553/1468)	2014年8月 0.010832(440/796)	李長榮化工 0.008155(339/362)	發生氣爆 0.005453(222/302)	氣爆災區 0.004421(180/180)	高雄發生 0.004053(168/278)	氣爆意外 0.003955(161/402)	罹難者 0.00393(153/784)	
環保局表示 0.004286(121/154)	日本政府 0.00375(107/384)	產業園區 0.003465(102/180)	開罰 0.003286(91/208)	彰南產業 0.002715(76/76)	污染防治 0.002643(76/94)	水污染 0.002572(72/90)	勒令停工 0.002429(68/70)	高雄發生 0.002286(61/278)	彰化縣政府 0.002215(63/220)	
政務委員 0.007731(198/222)	發言人孫立群 0.005996(155/262)	行政院發言人 0.005522(140/224)	行政院政務 0.004576(116/116)	旗魚酥 0.002604(66/66)	水上樂園 0.002564(65/93)	孫立群表示 0.002446(60/96)	集團旗下 0.002209(49/382)	張善政 0.002051(51/52)	教育部長蔣偉寧 0.002012(51/134)	
彭博報導 0.01466(391/394)	客家文化 0.008296(213/254)	資本市場 0.005796(157/343)	櫃買中心 0.005455(144/209)	8月15日 0.00466(125/216)	今天公布 0.004129(106/262)	中心表示 0.003182(87/148)	中央社徐睿承 0.002955(78/78)	看得到 0.002728(70/158)	上櫃公司 0.002576(68/82)	
地方政府 0.026407(665/1190)	舉行記者會 0.007166(178/308)	台聯黨團 0.003445(86/151)	系列產品 0.003128(76/165)	大螢幕 0.00289(74/136)	8月8日 0.002336(62/140)	開放民眾 0.002178(52/178)	主辦單位 0.002019(48/532)	民主國家 0.001901(45/122)	綠竹筍 0.001624(40/88)	
新北市 0.015828(435/2388)	經濟發展 0.005465(148/1042)	房仲業者 0.004259(105/216)	生活機能 0.00358(101/184)	同業公會 0.002751(70/274)	科技大學 0.002638(70/370)	住商不動產 0.002488(63/125)	永慶房產 0.00245(65/65)	房產集團 0.002375(63/63)	公會理事長 0.002261(55/272)	
標準時間 0.079076(3482/3482)	台北標準 0.07903(3480/3480)	時間上午 0.040469(1782/1782)	時間下午 0.039924(1758/1758)	2014年6月 0.020439(903/920)	中央社2014年 0.019304(846/854)	達志影像 0.0181(799/828)	週四台北 0.015806(693/804)	新鮮事 0.014693(647/1324)	天下新鮮 0.014557(636/1308)	
專用道 0.004322(100/181)	8月20日 0.004114(93/200)	季財報 0.004073(104/162)	大股東 0.003034(79/356)	工商協進會 0.002494(61/94)	中央軍委 0.002286(52/126)	北市政府 0.001995(45/188)	股東權益 0.001912(45/112)	股票股利 0.001912(47/116)	投資銀行 0.001787(45/79)	
新聞相關 0.087234(2460/2914)	相關影音 0.084651(2375/2756)	國民黨立委 0.013301(374/486)	縣長吳志揚 0.012134(336/374)	桃園縣長 0.008313(234/240)	副縣長 0.007641(236/562)	召開記者會 0.006014(172/822)	桃園機場 0.006014(176/370)	民進黨發言人 0.005271(146/182)	受訪表示 0.00513(135/302)	
保險公司 0.009129(233/406)	官員表示 0.006537(174/444)	駐美 0.004255(115/122)	競選連任 0.003907(99/182)	美代表 0.003714(97/104)	液晶電視 0.003443(92/190)	集團旗下 0.002553(67/382)	人說 0.002321(57/270)	今年4月 0.002205(57/366)	中華民國遠征軍 0.002089(54/54)	
