產業發展 0.005637(134/754)	模範父親 0.004271(100/121)	解決方案 0.003716(84/466)	雲端運算 0.00363(83/194)	到台灣 0.002563(64/276)	巴西世界盃 0.00252(52/100)	汽車零件 0.002477(58/58)	大陸官方 0.002178(52/286)	近年來 0.002136(56/320)	颱風期間 0.001879(42/53)	
大飯店 0.016262(376/448)	大法人 0.008368(196/361)	世足賽 0.004616(108/400)	訪台 0.004443(98/858)	分離主義 0.004357(99/179)	晶華酒店 0.004055(95/140)	台灣觀光 0.003451(82/266)	股王大立光 0.003063(69/131)	旺旺集團 0.002761(63/82)	黃色小鴨 0.002416(56/67)	
主管機關 0.032269(819/1112)	基本工資 0.015314(392/700)	修正草案 0.00547(145/286)	器官捐贈 0.005118(131/131)	基層員工 0.003516(90/95)	員工加薪 0.003438(87/130)	相關規定 0.003087(73/272)	台北外匯 0.002969(76/76)	發展條例 0.002852(74/89)	中小企業發展 0.002813(71/81)	
加權指數 0.005103(148/219)	新台幣兌 0.004681(133/259)	字頭 0.004681(129/188)	國際股市 0.003062(93/101)	做事 0.002886(75/280)	標準普爾 0.002851(79/110)	高檔震盪 0.002675(79/115)	大法人 0.002288(63/361)	香港馬會 0.002147(61/61)	成交比重 0.002147(62/62)	
智慧型手機 0.014925(474/1126)	平板電腦 0.010774(338/636)	十二年國教 0.010584(334/352)	12年國教 0.010394(331/404)	免試入學 0.008714(275/275)	特色招生 0.005292(167/167)	合作夥伴 0.003454(108/298)	基北區 0.003391(107/107)	志願序 0.003232(103/129)	國中會考 0.003042(96/117)	
政務委員 0.007569(184/222)	發言人孫立群 0.00524(127/262)	今年4月 0.004949(106/366)	行政院發言人 0.004658(112/224)	行政院政務 0.004325(106/116)	信義房屋 0.004325(106/151)	房仲業者 0.003785(90/216)	生活機能 0.003618(91/184)	沒問題 0.00341(79/196)	金額為 0.003202(92/182)	
今天表示 0.020932(475/1074)	太陽花 0.014454(334/416)	花學運 0.013(306/382)	國家公園 0.008593(197/484)	大股東 0.006434(145/356)	自由行 0.004892(115/186)	報導指出 0.004804(108/498)	日本政府 0.004495(100/384)	系列活動 0.004275(97/226)	金融服務 0.003702(80/172)	
來台 0.068314(1799/2678)	陸客來 0.004225(119/216)	行動電源 0.003395(88/160)	穩定成長 0.00298(83/200)	台旅遊 0.002641(72/92)	統計局 0.002565(65/98)	市場發展 0.002377(63/118)	台灣民眾 0.002264(58/560)	國家統計 0.002226(57/79)	返家 0.001962(48/138)	
台獨黨綱 0.016666(478/491)	高雄市長 0.014108(398/772)	主席蔡英文 0.013312(375/566)	支持者 0.012483(372/526)	市長賴清德 0.010131(291/388)	總統大選 0.009405(282/460)	台南市長 0.008403(244/298)	鴻海集團 0.008057(236/344)	董事長郭台銘 0.00778(226/256)	服貿協議 0.007607(219/822)	
今天上午 0.012233(297/430)	台灣高鐵 0.005195(123/252)	高架化 0.004567(105/131)	鐵路高架 0.003771(89/97)	8月21日 0.003268(78/134)	龍斌說 0.002472(60/140)	交通建設 0.00243(62/156)	交通號誌 0.002346(57/63)	民間機構 0.002095(50/70)	財務改善 0.001969(47/60)	
罹難者 0.01443(315/784)	國營事業 0.007419(162/210)	大陸國家 0.006423(144/634)	國家主席 0.004162(93/624)	美國官員 0.003122(66/136)	合作協議 0.00276(58/180)	提供中央社 0.002353(52/65)	中國國家 0.002307(44/206)	事業預算 0.002217(49/49)	中央社103年 0.002172(48/55)	
企業社會 0.00567(123/220)	社會責任 0.005416(127/338)	勞動部 0.003808(91/460)	惠明盲校 0.002539(60/86)	經濟部長張家祝 0.002497(60/318)	資本市場 0.002327(57/343)	金融業者 0.002285(54/66)	經營者 0.001989(47/110)	聯亞光電 0.001989(47/50)	旗艦計畫 0.001947(43/64)	
經濟成長率 0.003261(88/416)	影子銀行 0.002983(77/86)	市場競爭 0.002466(66/112)	採購經理人 0.002466(65/103)	積極推動 0.002426(69/410)	創歷史 0.002347(64/376)	經理人指數 0.002347(62/97)	業者吳榮和 0.002307(58/58)	要求政府 0.002227(57/124)	定向降準 0.00183(46/46)	
人士指出 0.009677(221/370)	人工生殖 0.008616(201/203)	壽險公司 0.006027(144/273)	知情人士 0.004075(93/176)	筆電 0.003396(78/160)	不孕夫妻 0.003353(79/83)	海外投資 0.003353(77/167)	今年4月 0.002801(63/366)	高美濕地 0.002589(63/114)	提供民眾 0.002335(55/168)	
中國大陸 0.095441(4038/4584)	國家主席 0.01013(429/624)	大陸國家 0.008949(364/634)	美國總統 0.008194(350/462)	總統歐巴馬 0.007037(292/400)	主席習 0.004912(207/484)	報導說 0.004581(189/262)	大陸國務院 0.003991(164/322)	大陸市場 0.003778(169/674)	競爭對手 0.003731(157/326)	
臉書 0.031774(769/1060)	相關單位 0.005084(126/708)	中心主任 0.004428(101/414)	超大豪雨 0.003649(86/167)	影響台灣 0.00328(78/252)	大豪雨 0.002747(70/143)	滯留鋒面 0.002583(63/177)	鋒面影響 0.002501(63/147)	豪雨特報 0.002378(62/137)	氣象局預報 0.002296(56/158)	
金管會主委 0.00969(218/230)	主委曾銘宗 0.009383(213/226)	創下歷史 0.0057(133/248)	宣布參選 0.004779(107/273)	研究中心 0.004472(101/306)	曾銘宗表示 0.004122(95/102)	8月1日 0.003552(78/438)	工業電腦 0.003552(83/143)	年成長 0.003245(70/157)	世足賽 0.003026(71/400)	
石化專區 0.016022(522/522)	石化管線 0.01501(492/528)	石化產業 0.008779(283/321)	經濟部長杜紫軍 0.003653(118/134)	投資金額 0.003499(109/252)	地方政府 0.003438(113/1190)	公共建設 0.003285(101/258)	集會遊行 0.003131(102/103)	石化工業區 0.002978(97/106)	石化業者 0.002947(96/100)	
合宜住宅 0.028138(835/944)	馬政府 0.01357(405/612)	副縣長 0.00898(275/562)	八德合宜 0.008947(269/269)	涉貪 0.008581(261/343)	縣長吳志揚 0.007716(235/374)	遠雄集團 0.006752(203/203)	合宜住宅案 0.00632(190/193)	董事長趙藤雄 0.005588(168/168)	營建署長 0.004756(142/207)	
爭取連任 0.003345(76/196)	回饋金 0.002456(57/136)	藍色大門 0.002456(58/58)	人機 0.002329(56/134)	藍色公路 0.002202(52/84)	6月26日 0.001778(44/218)	8月3日 0.001736(52/106)	綠營台北市長 0.001651(36/114)	生產基地 0.001609(44/102)	新聞聯播 0.001567(37/45)	
台北股市 0.006561(161/355)	成交金額 0.005618(144/456)	股價指數 0.004754(115/234)	股市今天 0.004479(113/247)	金額新台幣 0.00385(97/191)	今天開盤 0.003615(92/92)	加權股價 0.003497(85/162)	約新台幣 0.003458(89/228)	工業指數 0.0033(82/125)	指數成為 0.0033(84/84)	
中心主任 0.004534(94/414)	購票 0.004366(103/238)	民間投資 0.002813(66/140)	一般民眾 0.002561(61/240)	高雄氣爆事件 0.002309(55/78)	面積達 0.002057(50/94)	沒有辦法 0.001847(45/244)	電子商務 0.001805(43/722)	毒性化學 0.001805(43/43)	達成共識 0.001805(45/202)	
台北標準 0.088343(3028/3480)	標準時間 0.087469(3029/3482)	時間上午 0.051456(1776/1782)	時間下午 0.037033(1281/1758)	2014年6月 0.026427(907/920)	中央社2014年 0.024883(854/854)	週四台北 0.019201(652/804)	週三台北 0.015006(516/610)	上午6時 0.014773(506/624)	拍攝者 0.012704(441/476)	
達人 0.006301(149/414)	受歡迎 0.003815(85/242)	外銷訂單 0.003(68/118)	吳縣長 0.002829(64/110)	特別推出 0.0021(47/133)	電子產品 0.001672(40/234)	身障者 0.001672(38/148)	接單 0.001543(36/155)	裝置需求 0.001543(36/46)	代理局長 0.0015(33/56)	
集體自衛權 0.011933(322/381)	日本政府 0.00931(258/384)	美日 0.006428(173/196)	安倍晉三 0.004433(120/120)	報導指出 0.004138(120/498)	一段時間 0.003805(108/334)	首相安倍 0.002956(84/120)	日本首相 0.002771(74/204)	社福團體 0.002549(73/218)	靖國神社 0.002476(70/136)	
新鮮事 0.039647(1324/1324)	天下新鮮 0.039168(1308/1308)	達志影像 0.023477(788/828)	影像較少 0.014913(498/498)	時間下午 0.014583(477/1758)	標準時間 0.014374(453/3482)	台北標準 0.013386(451/3480)	下午5時 0.008984(292/530)	影音新聞 0.008205(274/274)	達志2014年 0.007726(258/258)	
沒人 0.003733(82/364)	旗魚酥 0.003005(66/66)	8月4日 0.002459(51/140)	財務長 0.002231(49/80)	交通管理 0.002185(46/67)	中元普渡 0.001912(43/114)	種植面積 0.001776(40/92)	汞含量 0.001548(34/34)	紙錢集中 0.001457(32/39)	高雄國賓 0.001321(29/51)	
國家風景區 0.004743(121/140)	遊客中心 0.003241(84/137)	北原礦業 0.002569(65/65)	水源水質 0.00253(63/67)	世足賽 0.002214(57/400)	主辦單位 0.002174(55/532)	新車 0.002056(54/358)	救人 0.002016(50/190)	副主委張顯耀 0.002016(51/149)	發生重大 0.001897(52/90)	
台中市政府 0.00462(118/312)	台灣省政府 0.003639(90/102)	文化園區 0.002944(71/176)	買賣移轉 0.002658(63/71)	雙北市 0.002453(55/148)	移轉棟數 0.002453(62/79)	台灣房屋 0.002371(57/102)	報告顯示 0.002249(55/150)	新創公司 0.002167(51/84)	主任徐佳馨 0.001963(46/81)	
彭博報導 0.014819(394/394)	世界盃足球賽 0.004777(126/220)	今天公布 0.004664(119/262)	信心指數 0.004627(122/131)	中央社陳昱婷 0.003423(91/91)	彭博訪調 0.002633(70/70)	小漲 0.002558(67/153)	中央社徐睿承 0.00252(67/78)	投資股票 0.002407(63/85)	中國大陸 0.001768(43/4584)	
中華電信 0.035001(1044/1046)	台灣大 0.007094(209/214)	台灣大哥大 0.006626(198/198)	行動裝置 0.006291(195/422)	集團旗下 0.00599(179/382)	電信公司 0.004986(148/158)	電信業者 0.004886(146/284)	遠傳電信 0.004785(144/182)	科技公司 0.004417(127/262)	金融機構 0.004384(140/352)	
發展協會 0.00836(183/250)	觀光旅遊 0.007515(174/342)	社區發展 0.003913(88/104)	年輕族群 0.00298(56/230)	老爺酒店 0.002757(63/128)	旅遊市場 0.002668(61/116)	遠東國際 0.002224(51/56)	夢田文創 0.002179(49/49)	外銷訂單 0.002135(50/118)	6月9日 0.00209(48/106)	
經濟部長張家祝 0.003683(93/318)	訂票 0.003555(80/104)	難求 0.003041(73/218)	今天宣布 0.002827(63/202)	相關問題 0.002313(59/116)	上班時間 0.002313(50/82)	主治醫師 0.002142(53/86)	次長杜紫軍 0.001927(46/142)	受到影響 0.001885(46/282)	可望帶動 0.001842(45/116)	
外籍勞工 0.004446(93/200)	勞動局 0.002994(64/106)	2014年2月 0.002858(58/128)	徵才活動 0.002586(55/124)	就業服務法 0.002314(50/54)	大陸網友 0.002268(48/92)	高市府 0.002178(49/336)	就業博覽會 0.001815(44/101)	新選擇 0.001724(33/106)	女孩們 0.001633(35/50)	
國是會議 0.016137(468/468)	經貿國是 0.015171(440/440)	服貿協議 0.012792(360/822)	自由貿易 0.004793(142/474)	兩岸服貿 0.003759(104/293)	台灣經濟 0.003759(119/728)	經濟研究院 0.003552(103/106)	貨品貿易 0.003552(104/123)	電力公司 0.002966(88/152)	貿易協定 0.002931(87/328)	
