智慧型手機 0.007148(491/1126)	臉書 0.006318(436/1060)	平板電腦 0.005139(360/636)	翠玉白菜 0.005037(346/346)	故宮博物院 0.004571(314/316)	國立故宮 0.004149(285/285)	值得注意 0.00297(193/376)	國立博物館 0.002722(187/187)	神品至寶展 0.002169(149/149)	今天說 0.002082(144/628)	
高雄氣爆 0.020976(2368/2368)	高雄市政府 0.012694(1435/1468)	氣爆事件 0.011693(1320/1320)	氣爆意外 0.003517(397/402)	2014年8月 0.003446(395/796)	李長榮化工 0.003207(362/362)	石化氣爆 0.002746(310/310)	罹難者 0.002675(313/784)	發生氣爆 0.002631(297/302)	高雄發生 0.002463(278/278)	
新興市場 0.01123(801/942)	高收益 0.006732(477/485)	收益債 0.004624(329/329)	應變中心 0.003429(247/470)	注中獎 0.003331(237/237)	災害應變 0.002741(196/384)	中獎號碼 0.002628(187/187)	債券基金 0.002066(147/147)	主辦單位 0.002052(143/532)	公共建設 0.001926(136/258)	
基金經理人 0.008848(779/824)	企業獲利 0.002655(233/251)	法人表示 0.002564(220/447)	貨幣政策 0.002552(233/346)	地緣政治 0.002053(179/218)	資料顯示 0.001951(167/536)	歐洲央行 0.001883(159/212)	消費滿 0.001781(151/248)	小跌 0.001361(120/180)	印度股市 0.001203(106/106)	
中國大陸 0.017039(1998/4584)	兩岸關係 0.011322(1323/1526)	主管機關 0.005579(644/1112)	國家主席 0.005372(624/624)	大陸國家 0.005157(591/634)	經濟發展 0.004339(501/1042)	主席習 0.004167(484/484)	來台 0.003995(473/2678)	國台辦主任 0.0031(361/968)	主任張志軍 0.0031(361/954)	
新藥 0.006314(448/454)	103年8月 0.005718(394/580)	大陸市場 0.005576(386/674)	今天說 0.002909(205/628)	影像較少 0.002582(180/498)	願景 0.002001(141/326)	官員說 0.001618(122/324)	氣候變遷 0.001518(109/360)	考試委員 0.00149(105/247)	臨床試驗 0.001362(98/122)	
歷史新高 0.006072(472/928)	103年6月 0.005354(439/604)	推播通知 0.004253(332/332)	重大新聞 0.004253(332/332)	快下載 0.004227(330/330)	通知快 0.004214(328/330)	台灣大 0.002741(214/214)	大飯店 0.00269(211/448)	中華電信 0.002626(200/1046)	台灣大哥大 0.002536(196/198)	
石化專區 0.007199(495/522)	石化管線 0.002675(193/528)	大法人 0.002604(183/361)	黨中央 0.002447(168/490)	下午4時 0.002305(171/536)	強陣風 0.00222(156/311)	黃埔建軍 0.002106(148/148)	協會理事長 0.001281(86/388)	達人 0.001167(79/414)	遷村 0.001138(82/118)	
台北市長參選人 0.014887(1282/1282)	參選人連勝文 0.008454(728/728)	國民黨台北市長 0.00655(564/564)	103年7月 0.004703(397/586)	參選人柯文哲 0.004274(369/540)	柯文哲說 0.003879(334/334)	在野整合 0.003414(294/294)	醫師柯文哲 0.003066(264/264)	台大醫師 0.002729(236/236)	參選台北市長 0.002288(197/197)	
地方政府 0.006525(476/1190)	相關單位 0.005152(376/708)	集體自衛權 0.004976(364/381)	自由經濟 0.004459(328/770)	經濟示範區 0.004323(314/708)	馬政府 0.003222(236/612)	日本政府 0.002583(185/384)	特別條例 0.002556(187/392)	幸福人壽 0.002542(187/187)	美日 0.00223(161/196)	
