媒體報導 0.00983(541/830)	議長黃景泰 0.003702(205/384)	高速公路 0.003611(189/264)	台塑集團 0.003301(179/292)	媒體訪問 0.002699(145/222)	同業公會 0.002663(145/274)	接受媒體 0.002262(126/314)	服務品質 0.002116(115/268)	基隆市議長 0.002061(113/219)	市長選舉 0.001988(111/299)	
2014年7月 0.007293(421/760)	都市計畫 0.005374(307/444)	陸委會副主委 0.002696(152/222)	張顯耀 0.002644(155/192)	發言人孫立群 0.002454(141/262)	客家文化 0.002264(132/254)	行政院發言人 0.002178(128/224)	區段徵收 0.002057(121/170)	專案小組 0.002039(121/266)	桃園航空城 0.001866(105/208)	
推薦新聞 0.006385(355/552)	馬英九總統 0.004703(257/714)	8月1日 0.00407(221/438)	新產品 0.003835(212/521)	副總統吳敦義 0.002514(135/356)	成為全球 0.002026(108/246)	資料顯示 0.001755(91/536)	國軍官兵 0.001755(100/129)	國際大廠 0.001447(82/150)	台塑化 0.001429(78/80)	
為例 0.002217(112/836)	開發單位 0.002143(117/122)	專案小組 0.001736(96/266)	國泰人壽 0.001663(87/159)	嚴部長 0.00157(85/148)	美國經濟 0.001478(81/216)	供民眾 0.001349(72/188)	空品淨化區 0.001293(70/70)	亞洲市場 0.001219(62/132)	開放民眾 0.001164(62/178)	
石化專區 0.009279(522/522)	石化管線 0.00679(403/528)	下午4時 0.004284(238/536)	台北股市 0.00272(157/355)	營收為 0.002098(119/321)	股市今天 0.002027(111/247)	者家屬 0.001991(115/258)	經濟部長杜紫軍 0.001938(108/134)	石化產業 0.001884(101/321)	防空識別區 0.001742(99/189)	
台北市長參選人 0.009181(466/1282)	公民團體 0.002527(126/274)	變形金剛 0.00233(119/182)	立法院臨時會 0.001955(101/301)	無人 0.001836(91/540)	社會住宅 0.001422(75/792)	參選人游錫坤 0.001402(70/95)	民進黨新北 0.001303(68/95)	柯文哲 0.001264(67/91)	6月18日 0.001224(61/100)	
中國大陸 0.055337(3316/4584)	美國總統 0.004462(270/462)	總統歐巴馬 0.003865(229/400)	成交金額 0.003368(207/456)	國家主席 0.003318(193/624)	上市公司 0.003052(188/260)	大陸國家 0.00282(169/634)	競爭對手 0.002737(163/326)	主辦單位 0.002322(145/532)	海軍陸戰隊 0.002107(125/172)	
亞太電信 0.00254(144/223)	股價指數 0.002148(120/234)	8月2日 0.002017(111/244)	路跑活動 0.001905(97/148)	今年6月 0.001774(94/328)	美國商會 0.001662(90/106)	前立委顏清標 0.001606(87/90)	資產管理 0.001513(86/216)	系列產品 0.001233(68/165)	亞太電 0.001233(66/91)	
統一渡假村 0.003831(201/205)	災害應變 0.003565(191/384)	觀光旅遊 0.003431(183/342)	公益活動 0.003164(168/340)	鹿港文創 0.003031(159/159)	創會館 0.002878(151/151)	7月10日 0.001601(82/148)	飛彈擊落 0.001601(85/198)	協會理事長 0.001544(85/388)	議員參選人 0.001506(80/121)	
合併營收 0.012361(1277/1277)	季營收 0.009128(943/943)	智慧型手機 0.004753(494/1126)	季成長 0.003872(401/430)	年增 0.003707(381/694)	歷史新高 0.003553(369/928)	法人預估 0.003311(342/342)	季合併 0.003301(341/341)	6月營收 0.00302(311/319)	5月營收 0.00301(311/311)	
主管機關 0.014333(763/1112)	基本工資 0.013009(697/700)	物價指數 0.004063(216/292)	工資審議 0.003504(188/188)	文教基金會 0.003262(178/284)	消費者物價 0.00302(160/226)	工作人員 0.002516(134/512)	河靜鋼鐵 0.002386(128/128)	社福團體 0.002237(122/218)	目前台灣 0.002013(106/224)	
新北市 0.016784(1064/2388)	合宜住宅 0.014336(933/944)	臉書 0.006686(429/1060)	社會住宅 0.005845(380/792)	桃園縣政府 0.004284(288/354)	副縣長 0.004131(273/562)	八德合宜 0.004116(269/269)	住宅政策 0.004009(267/286)	普悠瑪號 0.00384(253/286)	涉貪 0.00381(250/343)	
大股東 0.004643(261/356)	壽險公司 0.003657(211/273)	戶政事務所 0.003478(194/200)	中央社翻譯 0.003012(169/318)	今年7月 0.002707(154/302)	發言人陳以信 0.002599(144/285)	台灣經濟 0.002456(139/728)	報導指出 0.00233(124/498)	記者會表示 0.002312(121/210)	作業系統 0.002205(119/167)	
馬總統 0.031926(1990/2302)	台中市長 0.006254(397/622)	應變中心 0.005163(313/470)	總統馬英九 0.003897(246/1040)	市長胡志強 0.003784(239/654)	競選總部 0.003319(210/358)	大台中 0.003287(206/218)	勞動部 0.002854(180/460)	市長參選人 0.00279(176/712)	石化產業 0.002726(174/321)	
12年國教 0.006738(382/404)	免試入學 0.004889(275/275)	台灣經濟 0.004444(252/728)	十二年國教 0.003271(183/352)	特色招生 0.002969(167/167)	器官捐贈 0.002311(131/131)	級分 0.002187(122/130)	基北區 0.001902(107/107)	志願序 0.001813(102/129)	量身 0.001778(101/180)	
103年6月 0.007603(448/604)	冰桶挑戰 0.005533(318/318)	中油公司 0.002888(162/212)	凍人協會 0.002575(148/148)	無鉛汽油 0.002575(148/148)	交換意見 0.002088(120/358)	國際油價 0.002071(119/207)	下午3時 0.001792(107/246)	悠遊卡公司 0.001688(95/136)	公益活動 0.001653(95/340)	
標準時間 0.047614(3482/3482)	台北標準 0.047587(3480/3480)	時間上午 0.024067(1751/1782)	時間下午 0.02404(1758/1758)	新鮮事 0.018105(1324/1324)	天下新鮮 0.017886(1308/1308)	2014年6月 0.012102(883/920)	達志影像 0.011268(821/828)	中央社2014年 0.010912(788/854)	週四台北 0.010598(769/804)	
相關影音 0.035435(1872/2756)	新聞相關 0.035323(1884/2914)	國家公園 0.007076(379/484)	國民黨立委 0.005601(290/486)	縣長吳志揚 0.004462(236/374)	副縣長 0.003417(180/562)	報告指出 0.002931(153/344)	沒人 0.002875(151/364)	桃園縣長 0.002838(154/240)	鴻海集團 0.002819(153/344)	
來台 0.027145(1670/2678)	高雄市政府 0.010531(650/1468)	觀光產業 0.004791(288/384)	7月1日 0.003729(231/602)	新北市政府 0.003336(208/470)	活動期間 0.003025(188/322)	陸客來 0.002976(183/216)	暑假期間 0.002551(160/302)	國家安全 0.002535(153/422)	試營運 0.002322(141/212)	
馬政府 0.004135(225/612)	到高雄 0.002426(127/240)	受訪者 0.002315(131/294)	為例 0.002021(108/836)	訪台 0.001856(101/858)	世界遺產 0.001654(90/90)	民調顯示 0.001525(81/194)	中央銀行 0.001507(80/188)	文化遺產 0.001507(81/86)	旺旺集團 0.001342(74/82)	
郝龍斌 0.022694(1243/1432)	台北市長郝 0.006375(357/440)	台北市政府 0.004736(268/372)	都市更新 0.004736(256/342)	人工生殖 0.003697(203/203)	龍斌說 0.002514(138/140)	龍斌表示 0.002222(122/122)	捷運公司 0.002222(119/218)	台北捷運 0.002149(119/288)	台灣民眾 0.002149(111/560)	
地方政府 0.011149(607/1190)	歷史新高 0.00926(491/928)	103年7月 0.00826(447/586)	資源回收 0.002889(152/238)	環境保護 0.002204(112/274)	解決問題 0.001982(100/356)	產業發展 0.001723(93/754)	8月27日 0.001537(83/146)	台南市政府 0.001519(86/206)	月餅禮盒 0.001445(80/162)	
氣候變遷 0.005037(274/360)	國道收費員 0.003004(164/164)	生物多樣性 0.002912(160/248)	交通部長葉匡時 0.002546(139/184)	遠通電收 0.00207(108/128)	公司治理 0.001868(101/131)	收費員自救會 0.001685(92/92)	遠通公司 0.001649(90/90)	歐洲聯盟 0.001612(87/152)	人士說 0.001612(86/238)	
今天表示 0.011808(645/1074)	房地合一 0.008513(478/478)	智慧型手機 0.0083(466/1126)	實價課稅 0.006946(390/390)	平板電腦 0.006305(359/636)	自由貿易 0.003776(217/474)	合作夥伴 0.002672(151/298)	合一實價 0.002654(149/149)	太陽花 0.00228(136/416)	花學運 0.002244(127/382)	
經濟成長 0.011333(800/864)	經濟成長率 0.005407(381/416)	大陸經濟 0.004831(342/492)	中國大陸 0.003694(260/4584)	市長參選人 0.003357(240/712)	大陸國家 0.003328(233/634)	全球經濟 0.002893(198/366)	民調結果 0.00243(169/326)	國家主席 0.002233(144/624)	金融市場 0.002107(148/199)	
電子商務 0.009927(571/722)	產業發展 0.005932(352/754)	網路簡訊 0.00257(146/146)	就業機會 0.002341(130/432)	穿戴裝置 0.002147(126/234)	育成中心 0.00213(120/126)	模範父親 0.001919(108/121)	文化創意 0.001795(99/156)	新興產業 0.00176(103/138)	附加價值 0.00176(109/214)	
復興航空 0.008123(487/668)	航空公司 0.003987(244/808)	強陣風 0.002664(161/311)	麥德姆颱風 0.002416(141/322)	澎湖空難 0.002118(133/226)	罹難者 0.001688(97/784)	復興空難 0.001307(78/81)	馬公機場 0.001274(80/108)	食品安全 0.001175(70/168)	世足賽 0.001142(71/400)	
新興市場 0.009977(893/942)	基金經理人 0.009373(822/824)	高收益 0.005524(485/485)	收益債 0.003747(329/329)	法人表示 0.003314(288/447)	貨幣政策 0.002859(244/346)	企業獲利 0.002802(246/251)	資料顯示 0.002711(243/536)	地緣政治 0.002415(215/218)	歐洲央行 0.002369(208/212)	
彭博報導 0.006507(364/394)	今天公布 0.003209(178/262)	今年4月 0.002264(137/366)	航空公司 0.002157(121/808)	電信業者 0.001836(102/284)	廉價航空 0.001783(102/116)	7月1日 0.00164(99/602)	主計總處 0.001622(101/372)	發表聲明 0.001319(70/404)	國內生產 0.001302(71/146)	
翠玉白菜 0.006136(346/346)	故宮博物院 0.005604(314/316)	國立故宮 0.005054(284/285)	國立博物館 0.003316(187/187)	幸福人壽 0.003316(187/187)	現金股利 0.003104(170/282)	外貿協會 0.003086(173/230)	國寶人壽 0.002891(162/295)	神品至寶展 0.002642(149/149)	慈善基金會 0.002483(132/255)	
區域經濟 0.004718(259/394)	消息人士 0.003175(176/378)	做公益 0.00296(161/262)	保險公司 0.002798(156/406)	業者表示 0.002404(141/346)	夥伴協定 0.002314(127/257)	經濟整合 0.002188(118/303)	駐美 0.002135(118/122)	經濟合作 0.001973(110/480)	跨太平洋 0.001955(106/168)	
集體自衛權 0.004881(377/381)	伊波拉病毒 0.00377(292/292)	中國大陸 0.00337(265/4584)	美國國務卿 0.003099(238/250)	日本政府 0.002957(229/384)	國務卿凱瑞 0.002802(215/226)	美日 0.002363(182/196)	國家主席 0.001924(163/624)	經濟對話 0.001924(149/149)	靖國神社 0.001743(136/136)	
再生能源 0.007963(436/444)	今天上午 0.00358(192/430)	永續發展 0.003543(200/262)	消費滿 0.002301(125/248)	女王頭 0.002009(110/110)	求職者 0.001772(98/264)	太陽能發電 0.001626(88/90)	減量 0.00137(72/112)	溫室氣體 0.001333(70/82)	功能障礙 0.001315(72/72)	
新藥 0.007942(449/454)	大陸市場 0.006739(379/674)	大飯店 0.006209(349/448)	台灣觀光 0.002583(144/266)	交通部觀光局 0.0023(130/300)	中國政府 0.002282(128/282)	歡迎民眾 0.001964(104/204)	晶華酒店 0.001946(112/140)	臨床試驗 0.001734(96/122)	市場需求 0.001291(73/440)	
高雄氣爆 0.027142(2368/2368)	氣爆事件 0.01513(1320/1320)	高雄市政府 0.008963(775/1468)	氣爆意外 0.004562(397/402)	2014年8月 0.004539(393/796)	李長榮化工 0.004149(362/362)	罹難者 0.003737(326/784)	石化氣爆 0.003553(310/310)	發生氣爆 0.003393(296/302)	高雄發生 0.003187(278/278)	
台獨黨綱 0.008836(476/491)	高雄市長 0.007172(390/772)	服貿協議 0.006285(344/822)	市長賴清德 0.006285(337/388)	支持者 0.0061(330/526)	主席蔡英文 0.005786(317/566)	台南市長 0.004825(262/298)	總統大選 0.004825(251/460)	凍結台獨 0.003457(187/187)	數據顯示 0.003365(184/302)	
