馬政府 0.008502(273/612)	災害應變 0.00632(197/384)	政務委員 0.00616(189/222)	黨中央 0.005646(179/490)	發言人孫立群 0.005229(157/262)	行政院發言人 0.004492(143/224)	為例 0.003818(125/836)	行政院政務 0.003401(102/116)	加密手機 0.003369(105/105)	學生們 0.002599(80/176)	
解決問題 0.002932(100/356)	募款活動 0.001934(60/104)	客家文化 0.001837(60/254)	投資標的 0.001772(55/135)	信保基金 0.001482(46/55)	新車 0.00145(44/358)	協助企業 0.001192(39/72)	達成共識 0.00116(37/202)	大考中心 0.00116(37/60)	風險控管 0.001128(36/92)	
雲端服務 0.003712(115/176)	高等法院 0.003458(107/160)	集團總裁 0.002951(90/156)	無人 0.002665(83/540)	社群網站 0.002157(74/128)	全國電子 0.002126(70/135)	自有品牌 0.001904(57/152)	今天召開 0.001809(56/210)	新技術 0.001745(60/138)	通訊軟體 0.001745(53/188)	
罹難者 0.013534(432/784)	電子票證 0.004732(144/164)	主辦單位 0.002777(84/532)	爭取連任 0.002556(80/196)	美國經濟 0.002524(81/216)	高雄地區 0.002366(81/246)	高雄捷運 0.002272(71/204)	功能障礙 0.002272(72/72)	台北捷運 0.002082(68/288)	彈道飛彈 0.001799(67/153)	
集體自衛權 0.006155(192/381)	成長動能 0.00477(149/402)	科技大學 0.004286(134/370)	奈米製程 0.003803(116/178)	美日 0.003674(119/196)	官員說 0.003513(127/324)	財富管理 0.003029(93/218)	股價表現 0.002772(92/172)	主要原因 0.002675(83/250)	國際資金 0.002353(74/161)	
台獨黨綱 0.011732(491/491)	高雄市長 0.010537(446/772)	主席蔡英文 0.010179(428/566)	支持者 0.007981(336/526)	市長賴清德 0.007837(335/388)	台南市長 0.007049(294/298)	總統大選 0.006738(287/460)	民進黨主席 0.006452(269/598)	主席習 0.005759(244/484)	服貿協議 0.005544(223/822)	
台北市長參選人 0.014627(438/1282)	服務中心 0.006302(186/326)	人認為 0.003582(108/254)	化學物質 0.003549(103/152)	季獲利 0.002819(84/202)	工作人員 0.002654(81/512)	鹿港天后宮 0.002355(69/104)	台北車站 0.002256(71/132)	大陸央行 0.00209(62/85)	副主委張顯耀 0.001692(51/149)	
台中市政府 0.005529(166/312)	月餅禮盒 0.004155(127/162)	蛋黃酥 0.003305(99/117)	統計局 0.002454(75/98)	文化園區 0.002389(79/176)	國家統計 0.00216(69/79)	亞洲市場 0.0018(57/132)	善心人士 0.001603(47/69)	人生大事 0.001407(43/47)	咖啡鏽 0.001374(42/42)	
臉書 0.014783(459/1060)	8月1日 0.009654(306/438)	做公益 0.00634(193/262)	解決方案 0.006181(188/466)	創下歷史 0.00411(133/248)	勞退基金 0.003441(108/108)	國際市場 0.003377(99/254)	消防人員 0.003123(103/176)	業者表示 0.0029(88/346)	季營運 0.002868(88/237)	
世界盃足球賽 0.003159(97/220)	自治條例 0.002527(74/238)	登革熱疫情 0.00218(69/71)	8月11日 0.00199(60/98)	感染者 0.001959(56/150)	積水容器 0.001864(59/59)	入夏 0.001769(51/63)	疾病管制 0.001674(53/86)	本土病例 0.001485(47/47)	管制署 0.00139(45/76)	
103年8月 0.013195(453/580)	國際油價 0.005913(203/207)	都市計畫 0.005301(182/444)	中油公司 0.005097(174/212)	專案小組 0.004398(151/266)	無鉛汽油 0.004311(148/148)	購物中心 0.003845(128/358)	區段徵收 0.003583(123/170)	開發單位 0.003554(122/122)	桃園航空城 0.003437(118/208)	
為例 0.010154(298/836)	年增 0.009335(287/694)	台北國際 0.008287(258/332)	市場預期 0.004651(141/358)	新車 0.004258(129/358)	業者表示 0.003603(105/346)	今年5月 0.003603(106/354)	共同管道 0.002915(90/125)	生物多樣性 0.002293(70/248)	體驗活動 0.002097(55/232)	
今年4月 0.00817(250/366)	中央社翻譯 0.005599(185/318)	麥德姆颱風 0.002409(68/322)	7月10日 0.002311(68/148)	8月10日 0.001856(56/90)	中短期均線 0.001563(48/48)	市場信心 0.001335(42/74)	告訴記者 0.001237(37/67)	淘寶大學 0.001237(38/56)	澎湖空難 0.001205(41/226)	
