消費滿 0.00616(167/248)	今天報導 0.004035(113/244)	修正草案 0.003603(102/286)	預計今年 0.003386(90/280)	國關係 0.002414(66/174)	大學校長 0.002306(66/122)	7月31日 0.00191(52/288)	金融業者 0.001873(53/66)	員工加薪 0.001873(51/130)	衛星導航 0.001837(51/53)	
都市計畫 0.00533(156/444)	專案小組 0.004749(139/266)	區段徵收 0.004168(120/170)	希望未來 0.003929(114/196)	桃園航空城 0.003758(110/208)	航空城計畫 0.003519(103/114)	國際機場 0.002768(77/308)	桃園國際 0.002734(78/120)	沒人 0.002563(74/364)	國際金融 0.002426(72/165)	
高雄氣爆 0.040779(2362/2368)	氣爆事件 0.022789(1320/1320)	高雄市政府 0.012707(733/1468)	2014年8月 0.008563(512/796)	氣爆意外 0.006871(396/402)	李長榮化工 0.00625(362/362)	石化氣爆 0.005335(308/310)	發生氣爆 0.005024(292/302)	高雄發生 0.0048(276/278)	氣爆傷亡 0.004731(274/274)	
復興航空 0.014583(494/668)	罹難者 0.013301(436/784)	航空公司 0.006979(247/808)	澎湖空難 0.004503(145/226)	馬公機場 0.003221(108/108)	復興空難 0.002416(81/81)	台灣本島 0.002267(79/134)	當地時間 0.002207(74/250)	麥德姆颱風 0.002148(73/322)	富邦人壽 0.002058(73/116)	
新鮮事 0.025757(687/1324)	天下新鮮 0.02553(672/1308)	復興航空 0.00678(174/668)	網路簡訊 0.00553(146/146)	下午5時 0.005341(147/530)	壽險公司 0.004924(128/273)	高雄市府 0.004659(124/212)	人士指出 0.004281(109/370)	週四台北 0.003371(90/804)	海外投資 0.002993(79/167)	
監察委員 0.002707(80/506)	醫護人員 0.00225(60/156)	證券市場 0.00225(62/98)	慈善基金會 0.00218(68/255)	基金會董事長 0.002144(59/148)	資本支出 0.002004(55/305)	武器裝備 0.002004(57/75)	台新銀行 0.001863(54/135)	藝術基金會 0.001828(49/54)	公開資訊 0.001828(52/56)	
再生能源 0.013973(425/444)	道瓊工業 0.00512(152/173)	智慧手機 0.004559(144/348)	指數下跌 0.004526(141/209)	指數上漲 0.00446(133/293)	創新高 0.003799(116/652)	英國倫敦 0.003601(107/158)	工業指數 0.003403(102/125)	日本政府 0.003403(104/384)	費城半導體 0.003205(98/107)	
103年6月 0.013736(387/604)	今天說 0.008355(220/628)	交換意見 0.004709(136/358)	農曆七月 0.003895(105/127)	下午5時 0.003576(99/530)	國家發展 0.002337(70/208)	公共建設 0.002266(68/258)	衛生福利部 0.00216(62/258)	6月13日 0.002018(55/132)	食品藥物 0.001983(56/118)	
高鐵公司 0.003068(87/168)	台灣高鐵 0.002751(78/252)	實價登錄 0.002751(79/248)	恢復正常 0.00261(74/236)	昨天上午 0.00261(85/222)	海外市場 0.00261(69/174)	公司表示 0.002504(70/290)	高美濕地 0.002433(70/114)	訂票 0.002363(68/104)	台北車站 0.002328(61/132)	
中國大陸 0.072143(3770/4584)	國家主席 0.007822(403/624)	大陸國家 0.007284(375/634)	美國總統 0.006995(366/462)	總統歐巴馬 0.005977(310/400)	美國國務卿 0.00442(228/250)	國務卿凱瑞 0.004055(211/226)	報導說 0.003824(197/262)	主席習 0.003325(175/484)	大陸國務院 0.003094(155/322)	
地方政府 0.025552(738/1190)	太陽光電 0.004828(138/174)	今年度 0.003862(117/268)	國會議員 0.003759(119/236)	預計今年 0.003104(89/280)	共同管道 0.003035(88/125)	爭取連任 0.002587(76/196)	颱風來襲 0.002552(74/92)	都市更新 0.002345(63/342)	小跌 0.002207(65/180)	
教宗方濟 0.006666(190/190)	主席習 0.005648(164/484)	中央公園 0.004701(136/200)	總統朴槿惠 0.003684(107/228)	大陸國家 0.003368(105/634)	媒體報導 0.002807(77/830)	三星電子 0.002737(78/109)	天主教教宗 0.002702(78/78)	救援小組 0.002105(60/60)	訪問南韓 0.002035(60/84)	
