中國大陸 0.038484(2358/4584)	來台 0.003524(203/2678)	競爭對手 0.00331(208/326)	今天上午 0.00303(181/430)	7月1日 0.002157(127/602)	年減 0.002157(138/207)	競爭激烈 0.002141(133/186)	陸客來 0.001976(126/216)	大陸國務院 0.001861(110/322)	8月7日 0.001861(113/280)	
房地合一 0.007572(478/478)	實價課稅 0.006178(390/390)	新興市場 0.005782(368/942)	注中獎 0.003754(237/237)	合一實價 0.00236(149/149)	合一課稅 0.002075(131/131)	不動產交易 0.001949(123/123)	財政部長張盛和 0.001743(110/152)	房仲業者 0.001648(104/216)	自用住宅 0.001616(104/167)	
消息人士 0.004085(291/378)	新聞專輯 0.002524(180/388)	中央社翻譯 0.002231(162/318)	馬來西亞航空 0.001827(131/146)	教宗方濟 0.001757(124/190)	舉行記者會 0.001715(123/308)	歐洲聯盟 0.001618(118/152)	俄羅斯總統 0.00159(114/114)	分離主義 0.00159(113/179)	外銷訂單 0.001576(112/118)	
台北國際 0.003623(217/332)	客家文化 0.003089(186/254)	國道收費員 0.002738(164/164)	運動中心 0.002655(160/172)	自由貿易 0.002254(133/474)	今天表示 0.002137(119/1074)	遠通電收 0.002004(124/128)	交通部長葉匡時 0.00167(101/184)	主辦單位 0.00167(99/532)	收費員自救會 0.001536(92/92)	
合併營收 0.013954(1277/1277)	季營收 0.010152(931/943)	季成長 0.004415(402/430)	年增 0.003923(366/694)	法人預估 0.003737(342/342)	季合併 0.003726(341/341)	5月營收 0.003246(296/311)	6月營收 0.003235(291/319)	歷史新高 0.003169(299/928)	新高紀錄 0.002721(250/370)	
行政院長江 0.010774(573/728)	長江宜樺 0.010254(534/702)	民進黨立委 0.006205(348/734)	江宜樺 0.004514(244/300)	主辦單位 0.004031(226/532)	今天表示 0.002675(146/1074)	發表聲明 0.002304(128/404)	企業社會 0.002025(109/220)	公共建設 0.002025(109/258)	勞動部 0.001969(111/460)	
台塑集團 0.004774(280/292)	年增 0.004706(287/694)	保險公司 0.004383(258/406)	業者表示 0.003738(206/346)	下午4時 0.003721(222/536)	為例 0.003568(198/836)	市場預期 0.003347(199/358)	官員表示 0.003058(178/444)	購物中心 0.003024(183/358)	數據顯示 0.002718(157/302)	
臉書 0.011124(650/1060)	103年6月 0.007771(452/604)	無人 0.005742(319/540)	麥德姆颱風 0.003972(242/322)	上班上課 0.002373(137/146)	交換意見 0.00208(123/358)	工作人員 0.002063(125/512)	好戰分子 0.002029(119/165)	作業系統 0.001994(109/167)	國會議員 0.001823(105/236)	
國是會議 0.007664(463/468)	經貿國是 0.007183(433/440)	壽險公司 0.002356(141/273)	國際機場 0.001924(109/308)	人士指出 0.001626(98/370)	解決問題 0.001443(91/356)	經濟部工業局 0.001427(85/216)	7月9日 0.001427(84/132)	社保基金 0.00136(82/82)	達成共識 0.001327(79/202)	
主管機關 0.012164(687/1112)	基本工資 0.007476(424/700)	國際油價 0.003503(198/207)	中油公司 0.003154(178/212)	無鉛汽油 0.002579(148/148)	修正草案 0.002283(128/286)	研究人員 0.002213(128/174)	台灣市場 0.001917(102/286)	國際社會 0.001865(105/252)	員工加薪 0.001708(92/130)	
