經濟發展 0.01887(503/1042)	總統說 0.01253(331/350)	馬總統 0.009586(245/2302)	總統表示 0.009058(238/240)	台灣人民 0.008341(217/464)	民主法治 0.005472(144/149)	台灣民眾 0.004567(117/560)	大陸當局 0.004189(111/134)	兩岸人民 0.003925(104/194)	公民基金會 0.003661(92/176)	
新聞專輯 0.006564(143/388)	無人 0.004494(109/540)	公益活動 0.003348(77/340)	生命財產 0.002864(64/154)	參賽者 0.002776(68/132)	財產安全 0.002203(49/124)	無障礙 0.001807(48/150)	加油打氣 0.001718(34/192)	特別注意 0.001586(33/208)	鉅額交易 0.001586(39/58)	
台灣高鐵 0.005918(145/252)	嚴部長 0.005594(137/148)	優於預期 0.004864(125/237)	筆電 0.003405(85/160)	主題樂園 0.003283(86/132)	電信公司 0.002351(60/158)	為新台幣 0.002189(56/112)	高鐵財務 0.002108(52/52)	民間機構 0.002068(51/70)	受災 0.002027(46/152)	
新北市政府 0.006924(180/470)	巴西世界盃 0.001973(57/100)	緊急應變 0.001857(49/130)	中央大學 0.001548(39/120)	慈濟醫院 0.001509(39/56)	研究報告 0.00147(40/106)	今天召開 0.001432(36/210)	聖戰士 0.001432(39/111)	研究指出 0.001393(35/76)	體驗營 0.001277(33/90)	
彭博報導 0.014874(388/394)	世足賽 0.011232(284/400)	消息人士 0.01058(271/378)	作業系統 0.00483(128/167)	世界盃足球賽 0.004447(111/220)	今天公布 0.004064(101/262)	醫師柯文哲 0.003374(89/264)	台大醫師 0.003105(82/236)	台北時間 0.002799(71/98)	人士透露 0.002722(72/190)	
社會住宅 0.027412(789/792)	合宜住宅 0.008536(227/944)	住宅政策 0.008328(237/286)	地方政府 0.007148(221/1190)	租金補貼 0.005274(151/222)	沒有人 0.004546(134/320)	內政部長陳威仁 0.004338(126/144)	居住正義 0.003956(109/196)	高房價 0.003609(101/164)	都市更新 0.003054(87/342)	
投資者 0.007027(172/362)	103年6月 0.005918(134/604)	工作人員 0.004069(95/512)	人數為 0.004069(101/136)	勞動局 0.003904(97/106)	提出申請 0.003493(79/196)	世界展望會 0.00337(82/82)	回應說 0.002877(68/144)	台灣世界 0.002507(61/81)	資助人 0.002219(54/54)	
航空公司 0.02203(570/808)	長榮航空 0.005921(156/186)	感染者 0.005421(142/150)	愛滋感染 0.003422(89/89)	慈善基金會 0.002653(67/255)	基金會董事長 0.002422(63/148)	航空業者 0.002192(57/95)	疾病管制 0.002153(58/86)	登革熱疫情 0.002076(56/71)	藝術基金會 0.002038(54/54)	
103年7月 0.021971(533/586)	民進黨立委 0.01923(469/734)	客家文化 0.004071(103/254)	黨中央 0.003323(84/490)	就職典禮 0.002866(70/176)	亞洲市場 0.002783(67/132)	營收新台幣 0.0027(63/173)	醫護人員 0.002575(57/156)	搖滾音樂 0.00216(50/59)	8月23日 0.001994(45/72)	
台獨黨綱 0.017245(487/491)	主席蔡英文 0.014288(395/566)	高雄市長 0.014252(390/772)	支持者 0.011758(327/526)	總統大選 0.0093(268/460)	市長賴清德 0.009264(259/388)	台南市長 0.008516(239/298)	服貿協議 0.007411(219/822)	兩岸政策 0.006841(195/215)	凍結台獨 0.006663(187/187)	
電子商務 0.024576(660/722)	為例 0.012933(356/836)	相關單位 0.012749(354/708)	產業發展 0.012491(344/754)	年增 0.010648(288/694)	當地居民 0.008254(224/356)	就業機會 0.006227(168/432)	發言人孫立群 0.005564(152/262)	市場預期 0.005453(157/358)	政務委員 0.005453(158/222)	
衛生福利部 0.005215(138/258)	總統大選 0.005136(130/460)	近年來 0.003516(87/320)	舉行總統 0.003279(83/83)	選舉委員會 0.002687(66/140)	總統選舉 0.002529(65/93)	印尼總統 0.002173(56/73)	年輕族群 0.002094(58/230)	國際知名 0.002055(55/142)	聲明說 0.001936(50/120)	
主管機關 0.034332(827/1112)	基本工資 0.013667(333/700)	今天下午 0.00775(179/406)	官員說 0.005292(137/324)	弱勢家庭 0.00475(106/316)	相關規定 0.003667(86/272)	大陸組團社 0.003459(83/86)	旅行業者 0.003167(75/138)	基層員工 0.003167(77/95)	議員參選人 0.003084(76/121)	
國家公園 0.013203(353/484)	生態旅遊 0.003611(95/117)	系列活動 0.003461(96/226)	國泰人壽 0.00331(85/159)	生物多樣性 0.002897(75/248)	生活品質 0.002859(55/202)	公園管理處 0.002821(73/94)	交通管制 0.002445(69/125)	市府團隊 0.00237(61/170)	森林公園 0.002182(61/152)	
高雄市府 0.005162(124/212)	分離主義 0.004147(99/179)	季獲利 0.003851(91/202)	股東會通過 0.002581(62/104)	股票股利 0.002116(48/116)	小米手機 0.002031(48/77)	外銷訂單 0.001989(48/118)	大陸地區 0.001693(40/226)	創新獎 0.001693(42/100)	中央社記者 0.001651(38/84)	
行動電源 0.003744(94/160)	國民黨中央 0.002956(75/184)	募款晚會 0.002877(75/75)	污水下水道 0.00272(71/98)	拓寬工程 0.002562(66/163)	發射飛彈 0.002286(55/99)	下水道系統 0.002207(56/84)	行動網路 0.002207(54/80)	弱勢家庭 0.00201(51/316)	助理教授 0.00201(54/112)	
新北市長 0.02165(1017/1236)	兩岸關係 0.020462(950/1526)	訪台 0.018045(852/858)	市長朱立倫 0.01777(847/1004)	新北市 0.013868(641/2388)	大陸國台辦 0.009987(469/628)	市長陳菊 0.009436(438/884)	主任張志軍 0.009203(434/954)	國台辦主任 0.009182(439/968)	召開記者會 0.007061(338/822)	
冰桶挑戰 0.012543(318/318)	凍人協會 0.005009(127/148)	接受挑戰 0.003629(92/132)	凍人募款 0.003629(92/92)	捐錢 0.002761(69/88)	自由時報2014年 0.002722(74/316)	公益活動 0.002525(67/340)	挑戰者 0.002485(63/66)	淋冰水 0.002367(60/60)	6月29日 0.002327(55/190)	
國際社會 0.005646(140/252)	調查發現 0.003751(83/210)	金融海嘯 0.003711(97/272)	7月31日 0.003509(92/288)	國家安全 0.003388(79/422)	大陸政府 0.003307(82/234)	來回機票 0.002823(70/125)	競爭激烈 0.002662(64/186)	今年2月 0.00242(63/266)	即日起到 0.002339(60/114)	
新聞相關 0.088911(2448/2914)	相關影音 0.085735(2344/2756)	縣長吳志揚 0.012634(343/374)	國民黨立委 0.012196(335/486)	副縣長 0.00975(249/562)	桃園縣長 0.008691(238/240)	桃園機場 0.007449(210/370)	召開記者會 0.007121(192/822)	戶政事務所 0.005952(158/200)	縣長葉世文 0.005441(145/306)	
台北股市 0.012537(333/355)	股市今天 0.008409(219/247)	台股今天 0.005303(143/146)	成交金額 0.005(138/456)	股價指數 0.00447(120/234)	金額新台幣 0.003826(101/191)	加權股價 0.003523(94/162)	工業指數 0.003371(89/125)	終場上漲 0.003258(87/110)	指數成為 0.003182(84/84)	
指數下跌 0.008493(209/209)	道瓊工業 0.006523(159/173)	指數上漲 0.006523(156/293)	智慧手機 0.005088(129/348)	經濟成長 0.005047(131/864)	創新高 0.004965(111/652)	融資餘額 0.004513(110/114)	英國倫敦 0.004144(110/158)	半導體指數 0.004103(99/105)	費城半導體 0.004062(100/107)	
購票 0.005298(132/238)	請民眾 0.004207(104/170)	持股比重 0.002751(70/98)	國際大 0.002184(54/82)	詐騙集團 0.002144(53/76)	新興國家 0.002144(52/138)	亞太地區 0.002023(53/222)	金融商品 0.002023(49/110)	嘉義縣政府 0.001901(47/68)	上午7時 0.001699(46/124)	
交通工具 0.003912(98/144)	8月27日 0.002863(69/146)	教宗方濟 0.002662(66/190)	遠東國際 0.001855(46/56)	到花蓮 0.001815(40/68)	新車 0.001775(42/358)	提供免費 0.001734(45/130)	7月5日 0.001654(43/78)	接駁車 0.001533(37/83)	國際保鑣 0.001412(35/43)	
新台幣兌 0.008536(208/259)	台灣大道 0.0071(172/246)	快捷巴士 0.006813(166/202)	字頭 0.00472(108/188)	靜宜大學 0.003981(98/98)	局長林良泰 0.003858(93/131)	社福團體 0.003817(92/218)	加權指數 0.00353(89/219)	台北外匯 0.003119(76/76)	雙節 0.002914(67/86)	
