氣候變遷 0.00547(251/360)	成長動能 0.003381(158/402)	縣長參選人 0.003209(147/253)	財富管理 0.002756(127/218)	模範父親 0.002606(121/121)	世界遺產 0.001938(90/90)	江院長 0.001938(88/166)	手機遊戲 0.001787(83/122)	主要原因 0.001594(76/250)	股價表現 0.001594(72/172)	
智慧型手機 0.015513(859/1126)	平板電腦 0.008187(453/636)	今天說 0.006557(363/628)	台灣大 0.003816(214/214)	台灣大哥大 0.003547(198/198)	合作夥伴 0.003225(177/298)	數據顯示 0.003028(182/302)	手機市場 0.002974(164/192)	遠傳電信 0.00292(162/182)	值得注意 0.002866(157/376)	
歷史新高 0.011083(528/928)	大飯店 0.006155(290/448)	台灣觀光 0.002813(134/266)	交通部觀光局 0.002284(105/300)	季獲利 0.001819(92/202)	7月7日 0.001777(83/170)	國家風景區 0.001756(83/140)	統一超 0.001756(80/95)	新高紀錄 0.001523(68/370)	晶華酒店 0.001502(71/140)	
推播通知 0.007064(332/332)	重大新聞 0.007064(332/332)	通知快 0.007021(330/330)	快下載 0.007021(330/330)	彭博報導 0.004319(206/394)	今天公布 0.003106(140/262)	報導指出 0.002107(97/498)	穿戴裝置 0.001872(84/234)	行動裝置 0.001851(83/422)	疾病管制 0.00183(86/86)	
媒體報導 0.005457(254/830)	張顯耀 0.003645(174/192)	陸委會副主委 0.00313(156/222)	發言人孫立群 0.002945(145/262)	行政院發言人 0.002739(135/224)	當地時間 0.002162(103/250)	家庭因素 0.002101(102/102)	政務委員 0.00208(97/222)	青年顧問團 0.001957(95/95)	副主委張 0.001915(90/100)	
馬政府 0.004757(228/612)	行動裝置 0.003423(158/422)	都市計畫 0.003078(145/444)	英國倫敦 0.002928(137/158)	智慧手機 0.002712(133/348)	太陽光電 0.002669(129/174)	打造出 0.002562(123/188)	道瓊工業 0.002476(113/173)	指數下跌 0.002454(116/209)	指數上漲 0.002454(111/293)	
新北市政府 0.006189(317/470)	主辦單位 0.004432(234/532)	發展協會 0.003378(176/250)	黃埔建軍 0.002519(129/148)	戶政事務所 0.002128(110/200)	環境影響 0.001953(102/160)	7月1日 0.001777(89/602)	社區發展 0.001777(91/104)	勞動部 0.001601(82/460)	庇護工場 0.001504(77/96)	
電子商務 0.010443(518/722)	推薦新聞 0.007351(363/552)	產業發展 0.00473(223/754)	鴻海集團 0.004362(222/344)	文教基金會 0.003706(187/284)	集團董事長 0.003543(170/472)	董事長郭台銘 0.003481(168/256)	嚴部長 0.003031(148/148)	就業機會 0.002601(125/432)	工作人員 0.002539(121/512)	
再生能源 0.002793(135/444)	服務中心 0.002497(118/326)	自行車道 0.002433(117/152)	今年7月 0.002391(108/302)	觀光景點 0.00237(114/214)	官員說 0.002116(107/324)	到高雄 0.001862(88/240)	金融債 0.001756(83/122)	工作人員 0.00165(74/512)	觀光工廠 0.00165(77/174)	
馬總統 0.031933(1807/2302)	新北市長 0.021414(1196/1236)	市長朱立倫 0.017074(953/1004)	新北市 0.013395(754/2388)	訪台 0.009537(520/858)	103年7月 0.009055(515/586)	市長胡志強 0.008769(497/654)	台中市長 0.008608(475/622)	市長陳菊 0.006305(368/884)	召開記者會 0.006144(352/822)	
成交金額 0.006477(310/456)	台北股市 0.005165(246/355)	人力銀行 0.004957(241/324)	股市今天 0.004145(198/247)	生物多樣性 0.003499(168/248)	上市公司 0.003374(163/260)	金額新台幣 0.003374(161/191)	加權股價 0.002749(132/162)	調查顯示 0.002541(120/290)	證券交易所 0.00202(97/152)	
中央氣象局 0.009579(604/604)	短暫陣雨 0.009072(572/572)	氣象局表示 0.006265(395/395)	提醒民眾 0.006233(394/426)	午後雷陣雨 0.005297(333/335)	太平洋高壓 0.004885(308/308)	瞬間大雨 0.004266(269/269)	外圍環流 0.004266(269/269)	熱帶性低氣壓 0.004235(267/267)	補充水分 0.004139(262/310)	
客家文化 0.004283(208/254)	人才招募 0.003295(160/197)	電信業者 0.002883(140/284)	推薦新聞 0.0028(134/552)	新高紀錄 0.002389(116/370)	海軍陸戰隊 0.002389(116/172)	5月營收 0.002327(113/311)	6月營收 0.002224(102/319)	全民國防 0.002162(105/111)	經濟部長張家祝 0.001771(86/318)	
伊波拉病毒 0.006011(292/292)	台塑集團 0.005703(279/292)	國道收費員 0.003376(164/164)	副總統吳敦義 0.002862(149/356)	遠通電收 0.002635(128/128)	河靜鋼鐵 0.002635(128/128)	房地產市場 0.002244(101/232)	大陸官方 0.001935(94/286)	收費員自救會 0.001894(92/92)	遠通公司 0.001853(90/90)	
基金經理人 0.009662(806/824)	新興市場 0.006654(558/942)	高收益 0.005836(485/485)	貨幣政策 0.004091(341/346)	收益債 0.003959(329/329)	法人表示 0.003333(273/447)	企業獲利 0.002912(245/251)	資料顯示 0.002804(234/536)	經濟成長 0.002756(234/864)	歐洲央行 0.002515(210/212)	
世足賽 0.002944(127/400)	七夕情人節 0.002169(96/184)	和平發展 0.002059(91/390)	國安會秘書長 0.001483(67/180)	服務中心 0.001461(66/326)	機會獲得 0.001461(63/120)	抽獎活動 0.001373(56/122)	山海環線 0.001195(54/54)	提供中央社 0.001151(52/65)	高中校長 0.001129(50/77)	
兩岸關係 0.020959(1496/1526)	國台辦主任 0.013526(968/968)	主任張志軍 0.01333(954/954)	來台 0.009893(718/2678)	臉書 0.00612(434/1060)	大陸國台辦 0.005869(414/628)	台灣民眾 0.004849(347/560)	訪台 0.004388(329/858)	和平發展 0.004038(286/390)	經濟發展 0.003717(274/1042)	
新聞相關 0.042466(2010/2914)	相關影音 0.040576(1962/2756)	國民黨立委 0.005939(294/486)	李長榮化工 0.00569(267/362)	縣長吳志揚 0.005316(255/374)	副縣長 0.003634(180/562)	桃園縣長 0.003427(164/240)	桃園機場 0.00324(155/370)	召開記者會 0.00299(142/822)	環保局表示 0.00299(141/154)	
注中獎 0.005194(237/237)	民進黨主席 0.004537(202/598)	政治人物 0.004427(195/498)	中獎號碼 0.004098(187/187)	參選人柯文哲 0.00377(174/540)	桃園縣政府 0.003397(153/354)	號碼為 0.002652(119/137)	女王頭 0.002411(110/110)	金融海嘯 0.002104(97/272)	週六台北 0.001819(90/248)	
台北市長參選人 0.019922(1083/1282)	參選人柯文哲 0.006258(343/540)	柯文哲說 0.003851(207/334)	競選總幹事 0.002648(142/188)	媒體詢問 0.002518(133/280)	無黨籍台北市長 0.002481(134/134)	參選人連勝文 0.002426(149/728)	國民黨台北市長 0.002333(114/564)	柯文哲表示 0.002037(116/166)	台北市長選戰 0.001926(98/119)	
