季營收 0.015242(938/943)	季成長 0.005974(358/430)	法人預估 0.004983(310/342)	智慧型手機 0.004318(268/1126)	認購權證 0.003782(231/240)	創歷史 0.003734(239/376)	資本支出 0.003717(227/305)	歷史新高 0.003701(230/928)	平板電腦 0.003652(223/636)	預估今年 0.002662(164/250)	
國寶人壽 0.003721(127/295)	南韓總統 0.002637(86/186)	總統朴槿惠 0.002168(73/228)	全球市場 0.002139(71/174)	議長黃景泰 0.002081(68/384)	季財報 0.001788(61/162)	人士指出 0.001641(56/370)	快速道路 0.001553(55/158)	弱勢族群 0.001495(48/240)	透天別墅 0.001436(49/52)	
國際油價 0.005479(206/207)	中油公司 0.004495(165/212)	無鉛汽油 0.003936(148/148)	高收益債 0.003591(135/144)	當地時間 0.003564(136/250)	經濟復甦 0.0025(96/222)	上午10時 0.002261(94/340)	浮動油價 0.002234(84/84)	國內油價 0.002181(82/82)	超級柴油 0.002075(78/78)	
主辦單位 0.00944(352/532)	冰桶挑戰 0.008752(318/318)	公益活動 0.008257(303/340)	投資者 0.006523(237/362)	凍人協會 0.004073(148/148)	公民團體 0.003165(112/274)	立法院臨時會 0.002807(102/301)	發布新聞稿 0.002642(93/180)	接受挑戰 0.002642(95/132)	凍人募款 0.002532(92/92)	
航空公司 0.01406(530/808)	翠玉白菜 0.009076(346/346)	故宮博物院 0.008289(316/316)	國立故宮 0.007476(285/285)	保險公司 0.005115(194/406)	國立博物館 0.004906(187/187)	長榮航空 0.00404(152/186)	神品至寶展 0.003909(149/149)	赴日 0.003437(130/218)	駐美 0.003122(119/122)	
8月7日 0.003723(126/280)	日本首相 0.002413(75/204)	小火車 0.002234(74/91)	七股海鮮節 0.001966(66/66)	首相安倍 0.001638(54/120)	詐騙集團 0.001579(54/76)	影視作品 0.001549(52/52)	近年來 0.00143(44/320)	合作夥伴 0.0014(46/298)	進軍大陸 0.00137(45/67)	
標準時間 0.064835(3482/3482)	台北標準 0.064797(3480/3480)	時間上午 0.033181(1781/1782)	時間下午 0.032715(1758/1758)	2014年6月 0.016982(908/920)	中央社2014年 0.015902(854/854)	達志影像 0.015399(822/828)	週四台北 0.013276(710/804)	新鮮事 0.011675(625/1324)	天下新鮮 0.011545(610/1308)	
合宜住宅 0.015624(640/944)	相關單位 0.011853(482/708)	當地居民 0.007004(274/356)	社會住宅 0.006833(275/792)	住宅政策 0.005829(234/286)	副縣長 0.005657(232/562)	地方政府 0.005045(194/1190)	陳震遠 0.003698(151/151)	營建署長 0.003502(145/207)	資料照片 0.003453(143/164)	
高雄氣爆 0.034874(2317/2368)	氣爆事件 0.019277(1280/1320)	高雄市政府 0.010891(703/1468)	氣爆意外 0.006034(400/402)	2014年8月 0.006034(408/796)	李長榮化工 0.00546(362/362)	石化氣爆 0.004676(310/310)	發生氣爆 0.004435(292/302)	高雄發生 0.004193(278/278)	氣爆傷亡 0.004133(274/274)	
成交金額 0.010352(339/456)	台北股市 0.008732(297/355)	股市今天 0.006511(215/247)	股價指數 0.006271(206/234)	上市公司 0.005431(177/260)	加權股價 0.004351(143/162)	台股今天 0.002911(99/146)	金額新台幣 0.002881(90/191)	資產管理 0.002851(90/216)	工業指數 0.002731(91/125)	
