中央氣象局 0.010235(604/604)	短暫陣雨 0.009693(572/572)	提醒民眾 0.006761(401/426)	氣象局表示 0.006693(395/395)	午後雷陣雨 0.005677(335/335)	補充水分 0.005253(310/310)	太平洋高壓 0.005219(308/308)	外圍環流 0.004541(269/269)	瞬間大雨 0.004524(267/269)	熱帶性低氣壓 0.004524(267/267)	
石化專區 0.010882(522/522)	石化管線 0.009944(475/528)	石化產業 0.005712(274/321)	產業發展 0.002898(139/754)	經濟部長杜紫軍 0.002418(115/134)	地方政府 0.002293(103/1190)	石化工業區 0.002106(101/106)	環境保護 0.002043(100/274)	石化業者 0.001939(91/100)	電力公司 0.001897(92/152)	
彭博報導 0.009402(392/394)	消息人士 0.002926(119/378)	房地產市場 0.002687(113/232)	大陸官方 0.002591(107/286)	人士透露 0.002567(106/190)	宣布參選 0.002567(103/273)	今天公布 0.002495(107/262)	購票 0.002231(96/238)	中央社陳昱婷 0.002183(90/91)	身障者 0.002183(95/148)	
中共海軍 0.002066(84/100)	農曆7月 0.001869(77/136)	和平電廠 0.001721(70/70)	機械手臂 0.001648(66/100)	2014年2月 0.001402(57/128)	生命財產 0.001377(59/154)	全球經濟 0.001353(56/366)	中元普渡 0.001303(58/114)	大陸網友 0.001254(54/92)	8月20日 0.001254(49/200)	
官員表示 0.004412(190/444)	主計總處 0.00345(147/372)	7月1日 0.003192(135/602)	搭車 0.002629(113/292)	月餅禮盒 0.002418(101/162)	歡迎民眾 0.002019(84/204)	蛋黃酥 0.001995(84/117)	中心主任 0.001972(79/414)	股份有限公司 0.001878(83/288)	高收益債 0.001596(67/144)	
應變中心 0.007813(321/470)	災害應變 0.005993(251/384)	器官捐贈 0.003179(131/131)	新竹米粉 0.002645(109/109)	共同管道 0.002135(86/125)	作戰區 0.001747(72/126)	高美濕地 0.001723(75/114)	投入救援 0.001723(72/90)	參賽者 0.001408(58/132)	財政收入 0.001383(57/59)	
投資者 0.004445(178/362)	研究中心 0.001834(72/306)	森林遊樂區 0.001331(51/113)	人免費 0.001231(49/52)	國際市場 0.001155(45/254)	開雙星 0.001055(42/42)	預測單碰 0.001055(42/42)	驗證日期 0.001055(42/42)	難求 0.00103(41/218)	自然生態 0.00103(40/138)	
台北市長參選人 0.020435(1282/1282)	參選人連勝文 0.00762(471/728)	國民黨台北市長 0.005898(370/564)	參選人柯文哲 0.005898(368/540)	競選總部 0.00526(312/358)	醫師柯文哲 0.004208(264/264)	台大醫師 0.003762(236/236)	柯文哲說 0.003682(233/334)	競選總幹事 0.002997(187/188)	成交金額 0.002901(182/456)	
臉書 0.005056(201/1060)	發展協會 0.004583(183/250)	防空識別區 0.004558(182/189)	副總統吳敦義 0.004184(173/356)	發言人孫立群 0.003363(134/262)	政務委員 0.003288(132/222)	8月2日 0.003188(127/244)	行政院發言人 0.003138(121/224)	中心主任 0.002541(97/414)	國民黨主席 0.002466(98/218)	
新高紀錄 0.002928(118/370)	5月營收 0.002835(120/311)	6月營收 0.002694(112/319)	管理委員會 0.002554(109/188)	監督管理 0.002179(94/108)	7月3日 0.002155(90/140)	財團法人 0.002132(88/290)	藍光 0.001991(82/133)	總統蒲亭 0.001874(82/85)	中央銀行 0.001851(86/188)	
工作人員 0.003213(136/512)	飛彈擊落 0.002697(115/198)	馬航班機 0.002251(97/98)	文教基金會 0.001853(85/284)	競選團隊 0.001829(75/193)	9月1日 0.001759(74/156)	線上報名 0.001735(78/100)	烏克蘭政府 0.001735(74/74)	馬航客機 0.001712(70/100)	馬來西亞航空 0.001595(69/146)	
今天下午 0.006461(271/406)	發言人陳以信 0.006266(254/285)	經濟發展 0.006024(245/1042)	台灣人民 0.004445(185/464)	台灣經濟 0.004323(176/728)	8月1日 0.003668(162/438)	民主法治 0.003449(142/149)	國民黨文傳 0.003376(139/141)	兼發言人 0.003279(137/138)	總統說 0.003206(130/350)	
台獨黨綱 0.010815(476/491)	高雄市長 0.009093(402/772)	主席蔡英文 0.007669(324/566)	支持者 0.007669(343/526)	基金經理人 0.007004(308/824)	市長賴清德 0.006085(268/388)	總統大選 0.006039(262/460)	台南市長 0.005258(226/298)	服貿協議 0.00473(208/822)	市長陳菊 0.004455(194/884)	
國是會議 0.010827(459/468)	經貿國是 0.010165(431/440)	作業系統 0.002364(101/167)	經濟研究院 0.001868(81/106)	調查報告 0.001584(64/242)	人民銀行 0.001442(59/139)	全國大會 0.001419(60/60)	官員說 0.001419(59/324)	遠東集團 0.001348(56/82)	一段時間 0.001324(48/334)	
中華電信 0.00692(319/1046)	台灣經濟 0.006131(272/728)	冰桶挑戰 0.006063(272/318)	公司董事長 0.004418(192/320)	金融機構 0.004035(183/352)	中油公司 0.003877(172/212)	無鉛汽油 0.003336(148/148)	集團旗下 0.003223(152/382)	國際油價 0.002773(125/207)	科技公司 0.002615(124/262)	
無人 0.003527(147/540)	求職者 0.002904(111/264)	美國國務卿 0.002567(97/250)	國務卿凱瑞 0.00223(85/226)	報告顯示 0.001997(78/150)	受災 0.001815(68/152)	吸金 0.001712(68/170)	工作人員 0.00166(63/512)	軍事行動 0.001582(57/134)	勞退基金 0.001556(60/108)	
再生能源 0.005877(255/444)	協會理事長 0.004281(184/388)	太陽光電 0.003911(168/174)	中央公園 0.00317(137/200)	社會責任 0.003055(134/338)	研究人員 0.002707(121/174)	綠建築 0.002476(101/196)	預計今年 0.002152(99/280)	今年度 0.002013(87/268)	法人看好 0.001666(70/130)	
電子商務 0.007304(343/722)	解決方案 0.004247(210/466)	幸福人壽 0.003907(184/187)	國寶人壽 0.002824(128/295)	台新銀行 0.002739(127/135)	國際市場 0.002272(98/254)	台灣國際 0.002039(93/200)	季營運 0.001975(92/237)	高市府 0.001932(94/336)	應用程式 0.00189(91/186)	
合併營收 0.017595(1277/1277)	季營收 0.012414(902/943)	季成長 0.005511(402/430)	年增 0.00485(349/694)	季合併 0.004698(341/341)	法人預估 0.004643(336/342)	歷史新高 0.003913(298/928)	行動裝置 0.003541(247/422)	創歷史 0.003403(248/376)	資本支出 0.002949(215/305)	
十二年國教 0.003154(134/352)	家扶中心 0.00299(124/353)	募款活動 0.001869(78/104)	弱勢家庭 0.001799(84/316)	學生們 0.001799(79/176)	發表聲明 0.001776(76/404)	明星學校 0.001752(75/104)	請民眾 0.001729(72/170)	弱勢孩童 0.001682(72/72)	國內生產 0.001659(74/146)	
審議委員會 0.00382(172/290)	環保局表示 0.003271(148/154)	彰化縣政府 0.003073(139/220)	台灣市場 0.002459(115/286)	產業園區 0.002261(99/180)	報名參加 0.001932(82/224)	開罰 0.001866(87/208)	穿戴裝置 0.0018(87/234)	清算行 0.001712(78/78)	獨居老人 0.00169(75/114)	
國泰世華 0.004448(187/193)	模範父親 0.002688(113/121)	醫護人員 0.002402(105/156)	女學生 0.002141(99/128)	世華銀行 0.002117(86/93)	國家安全 0.002022(80/422)	特任副主委 0.001927(81/81)	嘉義市長 0.001736(74/106)	移送調查局 0.001689(71/71)	金門縣政府 0.001594(64/98)	
合宜住宅 0.018825(905/944)	八德合宜 0.005541(269/269)	創新高 0.004861(237/652)	政治人物 0.004614(222/498)	涉貪 0.004511(218/343)	副縣長 0.004387(222/562)	民進黨主席 0.004367(213/598)	遠雄集團 0.004181(203/203)	地方政府 0.003646(187/1190)	社會住宅 0.003625(176/792)	
翠玉白菜 0.008063(346/346)	故宮博物院 0.007364(316/316)	國立故宮 0.006642(285/285)	馬總統 0.005244(238/2302)	國立博物館 0.004358(187/187)	神品至寶展 0.003472(149/149)	發表聲明 0.003239(133/404)	赴日 0.003076(132/218)	就職典禮 0.002214(93/176)	總統馬英九 0.002051(83/1040)	
今天表示 0.017095(679/1074)	歷史新高 0.012783(486/928)	103年6月 0.00865(342/604)	交換意見 0.004644(185/358)	媒體詢問 0.002475(93/280)	上海福喜 0.002169(85/85)	上午9時 0.002016(83/246)	產險公司 0.001939(76/76)	食品公司 0.00171(70/82)	新高紀錄 0.001531(58/370)	
集團董事長 0.006083(258/472)	鴻海集團 0.005893(246/344)	董事長郭台銘 0.005893(250/256)	新北市政府 0.004396(186/470)	弱勢家庭 0.003992(161/316)	強陣風 0.003683(156/311)	慈善基金會 0.002923(122/255)	鴻海董事長 0.002638(123/188)	小股東 0.002519(100/202)	上市櫃公司 0.002115(88/152)	
新藥 0.010644(443/454)	大陸市場 0.009144(377/674)	人受傷 0.004215(179/330)	人死亡 0.002715(117/280)	臨床試驗 0.002286(96/122)	環境影響 0.002119(86/160)	市場規模 0.001786(70/170)	市場需求 0.001691(74/440)	專家認為 0.001691(74/152)	影響評估 0.001643(68/152)	
今天說 0.006045(250/628)	氣爆意外 0.003679(158/402)	現金股利 0.002843(123/282)	年輕族群 0.002533(105/230)	股份有限公司 0.002294(93/288)	國家發展 0.002198(100/208)	不少人 0.002174(91/226)	電子產品 0.00215(85/234)	觀光景點 0.00215(99/214)	主題樂園 0.001959(77/132)	
國民黨團 0.009952(551/555)	監察委員 0.007699(431/506)	條例草案 0.005517(306/348)	監督條例 0.004526(234/689)	人事同意權 0.004471(249/405)	馬總統 0.004363(241/2302)	立法院黨團 0.004363(242/242)	民進黨立委 0.004111(228/734)	監察院人事 0.004093(227/227)	中國國民黨 0.003786(211/416)	
高雄氣爆 0.031022(2309/2368)	氣爆事件 0.017195(1280/1320)	高雄市政府 0.015773(1174/1468)	2014年8月 0.006631(484/796)	李長榮化工 0.004859(362/362)	石化氣爆 0.004161(310/310)	發生氣爆 0.003947(290/302)	高雄發生 0.003732(278/278)	氣爆傷亡 0.003678(274/274)	專輯轟街 0.003463(258/258)	
新聞相關 0.048274(2124/2914)	相關影音 0.04658(2039/2756)	國家公園 0.008268(372/484)	縣長吳志揚 0.007274(322/374)	國民黨立委 0.006709(296/486)	副縣長 0.005196(223/562)	桃園縣長 0.005173(229/240)	議長黃景泰 0.004947(218/384)	縣長葉世文 0.004609(207/306)	桃園機場 0.00445(201/370)	
官員說 0.003131(129/324)	主席習 0.002752(110/484)	營收成長 0.00261(112/199)	大螢幕 0.002159(94/136)	中國政府 0.002159(94/282)	蓬勃發展 0.001661(66/174)	願景 0.001613(62/326)	生產基地 0.001613(71/102)	三星電子 0.001518(67/109)	電動機車 0.001495(61/80)	
社會住宅 0.011436(472/792)	購物中心 0.006636(264/358)	美國商會 0.002424(99/106)	租金補貼 0.002155(89/222)	今年7月 0.002008(84/302)	無殼蝸牛 0.001788(73/76)	內政部長陳威仁 0.001788(71/144)	固態硬碟 0.001739(69/133)	7月7日 0.001592(64/170)	沒有人 0.001567(58/320)	
公益活動 0.003415(137/340)	智慧手機 0.003317(145/348)	經濟成長 0.003122(134/864)	指數下跌 0.002878(120/209)	道瓊工業 0.00283(111/173)	創新高 0.002781(115/652)	指數上漲 0.002781(112/293)	外籍勞工 0.002756(113/200)	消息人士 0.002756(116/378)	英國倫敦 0.002366(98/158)	
航空公司 0.016157(770/808)	復興航空 0.01031(492/668)	中獎號碼 0.003919(187/187)	罹難者 0.003039(144/784)	人士說 0.002578(117/238)	值得注意 0.002557(118/376)	號碼為 0.002536(118/137)	長榮航空 0.00241(117/186)	合作關係 0.00241(112/260)	馬公機場 0.002263(108/108)	
來台 0.022747(1654/2678)	兩岸關係 0.020434(1513/1526)	國台辦主任 0.013091(968/968)	主任張志軍 0.012902(954/954)	訪台 0.011576(850/858)	大陸國台辦 0.008493(628/628)	市長陳菊 0.005815(428/884)	台灣民眾 0.005383(390/560)	陸委會主委 0.005112(372/396)	太陽花 0.005085(369/416)	
新北市 0.031686(1659/2388)	新北市長 0.02364(1235/1236)	市長朱立倫 0.019234(1003/1004)	總統馬英九 0.012165(633/1040)	台中市長 0.01138(591/622)	市長胡志強 0.010575(562/654)	市長參選人 0.006092(321/712)	產業發展 0.005364(290/754)	電子商務 0.004636(245/722)	新北市政府 0.004272(219/470)	
大飯店 0.007802(364/448)	數據顯示 0.004672(221/302)	代表處 0.00452(216/286)	運動中心 0.00276(130/172)	大陸房市 0.00226(104/104)	晶華酒店 0.00226(108/140)	台灣觀光 0.002239(105/266)	新低 0.002195(97/200)	達人 0.002086(98/414)	氣候變遷 0.002043(92/360)	
壽險公司 0.004124(180/273)	高架化 0.003088(131/131)	地方人士 0.002616(105/158)	人士指出 0.002545(105/370)	防空飛彈 0.002286(97/115)	修正草案 0.002263(99/286)	鐵路高架 0.002263(96/97)	海外投資 0.002192(96/167)	開發單位 0.002168(90/122)	國泰人壽 0.001862(82/159)	
臉書 0.009555(430/1060)	大法人 0.004755(215/361)	好戰分子 0.003754(165/165)	宏達電 0.003072(135/211)	系列產品 0.003049(128/165)	通訊軟體 0.002617(113/188)	預估值 0.001889(81/183)	股王大立光 0.001798(76/131)	安全部隊 0.001798(83/89)	好戰份子 0.00157(69/80)	
標準時間 0.056601(3482/3482)	台北標準 0.056568(3480/3480)	時間上午 0.028967(1782/1782)	時間下午 0.028577(1758/1758)	新鮮事 0.021522(1324/1324)	天下新鮮 0.021262(1308/1308)	2014年6月 0.014207(883/920)	達志影像 0.013459(826/828)	中央社2014年 0.013329(812/854)	週四台北 0.012614(771/804)	
基隆市長 0.015845(787/789)	市長參選人 0.007257(362/712)	參選基隆 0.004536(225/225)	資本市場 0.00383(190/343)	國民黨提名 0.003387(168/266)	議長黃景泰 0.003306(164/384)	市長選舉 0.002782(139/299)	服貿協議 0.002722(138/822)	民調結果 0.00252(122/326)	黨中央 0.002399(118/490)	
國道收費員 0.003579(154/164)	文教基金會 0.002487(96/284)	收費員自救會 0.002138(92/92)	交通部長葉匡時 0.002092(89/184)	食品安全 0.001673(65/168)	衛生管理法 0.001627(70/70)	發生嚴重 0.001604(70/162)	大腸桿菌群超標 0.00158(68/68)	不符規定 0.001511(65/82)	找工作 0.001511(66/128)	
都市計畫 0.006581(314/444)	鐵路電氣化 0.006456(310/310)	花東鐵路 0.006123(294/294)	普悠瑪號 0.005956(286/286)	台塑集團 0.004332(207/292)	到台東 0.003312(159/192)	舉行記者會 0.00277(123/308)	河靜鋼鐵 0.002666(128/128)	近年來 0.002583(128/320)	普悠瑪列車 0.002395(115/115)	
台北股市 0.005909(345/355)	股市今天 0.00403(237/247)	加權指數 0.00374(219/219)	成交金額 0.003723(230/456)	市場需求 0.002954(171/440)	創下歷史 0.002784(164/248)	中央社翻譯 0.002784(178/318)	業績成長 0.002545(150/230)	台股今天 0.002493(146/146)	小跌 0.002288(137/180)	
新北市 0.008528(383/2388)	國營事業 0.004541(203/210)	房仲業者 0.003943(188/216)	信義房屋 0.003345(151/151)	打房 0.002636(120/124)	生活機能 0.002569(118/184)	住商不動產 0.002569(114/125)	聲明表示 0.002259(108/156)	分離主義 0.002237(100/179)	專案經理 0.001905(86/102)	
參選人連勝文 0.005939(257/728)	國民黨台北市長 0.004608(194/564)	在野整合 0.002993(126/294)	國家風景區 0.002969(123/140)	國家公園 0.002257(94/484)	風景區管理處 0.002138(88/110)	遊客中心 0.002138(92/137)	環境教育 0.002019(81/160)	柯文哲說 0.002019(88/334)	世界展望會 0.001948(82/82)	
勞動部 0.008825(342/460)	今天說 0.003385(135/628)	洽詢電話 0.00336(138/302)	變形金剛 0.003259(131/182)	工作機會 0.002608(103/320)	江院長 0.002332(90/166)	台中市政府 0.002181(83/312)	勞動力發展 0.001981(83/152)	事業單位 0.001931(78/128)	達新台幣 0.00173(71/128)	
同業公會 0.005605(229/274)	經濟發展 0.003536(138/1042)	科技大學 0.002261(96/370)	飛彈擊落 0.001997(83/198)	公會理事長 0.001925(80/272)	財團法人 0.001804(77/290)	七夕情人節 0.00178(80/184)	空氣品質 0.001684(76/186)	產學合作 0.00166(71/158)	商業同業 0.001588(60/190)	
公路總局 0.007476(311/324)	今天上午 0.006194(256/430)	觀光旅遊 0.004913(217/342)	都市更新 0.004367(185/342)	呼籲民眾 0.003133(133/250)	投資金額 0.002421(102/252)	台資企業 0.001567(62/156)	暫停收費 0.001472(62/62)	旅遊市場 0.001448(62/116)	遊樂設施 0.001448(59/83)	
馬總統 0.034728(1567/2302)	快捷巴士 0.00407(182/202)	台灣大道 0.003849(174/246)	人事同意權 0.003473(156/405)	經濟部長張家祝 0.003185(145/318)	局長林良泰 0.002898(131/131)	做公益 0.002699(121/262)	靜宜大學 0.002168(98/98)	一般民眾 0.002124(100/240)	中國人民 0.002057(88/334)	
高雄市政府 0.004784(221/1468)	暑假期間 0.003773(169/302)	國寶人壽 0.003639(167/295)	台灣高鐵 0.003594(157/252)	交通局長 0.003055(138/251)	社福團體 0.002785(125/218)	觀光產業 0.002785(127/384)	公車路線 0.002426(110/200)	無人 0.001999(85/540)	選舉委員會 0.001527(68/140)	
中華電信 0.010594(434/1046)	主辦單位 0.009899(413/532)	電信業者 0.003404(142/284)	去年10月 0.002014(84/148)	資產配置 0.001918(83/152)	武裝分子 0.001822(74/115)	觀光旅遊局 0.001726(72/200)	連鎖加盟 0.001726(72/91)	工作人員 0.001678(77/512)	全民國防 0.001582(65/111)	
智慧型手機 0.01784(915/1126)	平板電腦 0.008812(448/636)	成長動能 0.005385(276/402)	合作夥伴 0.003545(182/298)	供應鏈 0.003505(182/584)	財富管理 0.003114(160/218)	行動裝置 0.002507(133/422)	穿戴式裝置 0.002409(129/198)	智慧手機 0.00235(118/348)	換機 0.00235(119/183)	
營收為 0.002899(118/321)	金酒公司 0.002678(109/116)	加密手機 0.002579(105/105)	國家電影 0.002137(87/87)	金酒廈門 0.002088(85/85)	頒獎典禮 0.002039(83/172)	廈門公司 0.002039(83/83)	旺旺集團 0.001867(74/82)	采瑞公司 0.001548(63/63)	競選經費 0.001474(59/112)	
