103年6月 0.006715(298/604)	環保局表示 0.003335(145/154)	今天表示 0.003151(147/1074)	資源回收 0.003082(141/238)	交換意見 0.002645(121/358)	污染防治 0.002162(94/94)	水污染 0.00207(90/90)	7月15日 0.002024(90/172)	開罰 0.001932(81/208)	政府環保局 0.001794(77/112)	
災害應變 0.004893(201/384)	發言人孫立群 0.004082(167/262)	行政院發言人 0.003492(146/224)	政務委員 0.002435(101/222)	產業園區 0.002336(95/180)	青年顧問團 0.002336(95/95)	季獲利 0.002287(88/202)	勞動力發展 0.002017(85/152)	容積移轉 0.001869(76/78)	彰南產業 0.001869(76/76)	
地方政府 0.016164(684/1190)	國家公園 0.007142(298/484)	統一渡假村 0.004785(202/205)	活動期間 0.004618(196/322)	鹿港文創 0.003785(158/159)	創會館 0.003595(151/151)	外貿協會 0.003547(147/230)	8月15日 0.0035(147/216)	7月1日 0.002619(105/602)	系列活動 0.002452(96/226)	
今天說 0.009501(352/628)	智慧手機 0.00366(139/348)	指數下跌 0.003634(137/209)	道瓊工業 0.003401(130/173)	經濟成長 0.003297(128/864)	英國倫敦 0.003245(125/158)	指數上漲 0.003219(124/293)	難求 0.002778(108/218)	創新高 0.002648(98/652)	僑教中心 0.002492(94/111)	
集體自衛權 0.007884(377/381)	日本政府 0.005312(258/384)	美日 0.003681(176/196)	日本首相 0.0032(155/204)	經濟對話 0.003116(149/149)	首相安倍 0.00251(120/120)	安倍晉三 0.002489(120/120)	報導指出 0.002447(114/498)	女王頭 0.0023(110/110)	中美戰略 0.002112(101/101)	
中國國民黨 0.003743(147/416)	駐美 0.003058(117/122)	美代表 0.002583(100/104)	7月7日 0.002293(87/170)	7月4日 0.001924(71/204)	修正草案 0.001845(68/286)	服務貿易 0.001555(62/313)	快速道路 0.001555(63/158)	紅利點數 0.00145(54/75)	貿易協議 0.001424(57/339)	
自治條例 0.00391(159/238)	值得注意 0.003682(148/376)	氣候變遷 0.001854(77/360)	雙北市 0.001854(72/148)	購票 0.001803(68/238)	當地時間 0.001777(66/250)	台灣房屋 0.001701(68/102)	移轉棟數 0.001549(62/79)	台日通 0.001524(60/60)	買賣移轉 0.001498(59/71)	
股份有限公司 0.003667(143/288)	電子產品 0.002453(94/234)	來回機票 0.002324(90/125)	即日起到 0.002092(79/114)	房祖名 0.001885(73/83)	專家學者 0.001782(68/186)	代店 0.001395(57/105)	違規項目 0.001369(53/53)	民間投資 0.001343(57/140)	研究機構 0.001291(50/138)	
郝龍斌 0.029181(1355/1432)	臉書 0.013651(627/1060)	台北市長郝 0.008942(411/440)	十二年國教 0.007603(352/352)	12年國教 0.007258(332/404)	免試入學 0.00594(275/275)	台北股市 0.005595(258/355)	股市今天 0.004471(204/247)	特色招生 0.003607(167/167)	強陣風 0.003348(157/311)	
新聞相關 0.052501(2164/2914)	相關影音 0.051825(2109/2756)	罹難者 0.012751(525/784)	國民黨立委 0.007245(298/486)	縣長吳志揚 0.005724(239/374)	工作人員 0.005217(216/512)	桃園機場 0.005023(205/370)	副縣長 0.004758(188/562)	桃園縣長 0.003888(157/240)	麥德姆颱風 0.003381(143/322)	
